candidate,office,carson_graham,larson,memorial_rec,nsn_house,queen_mary,ridgeway,sutherland,pipe_shop,westview,advance,mail,special,total,elected,source
"BUCHANAN, Linda",Mayor,434,252,314,418,591,625,351,610,294,1221,132,33,5275,yes,https://www.cnv.org/City-Hall/News-Room/Whats-New/2022/10/19/Official-Results-of-2022-City-Election-Announced
"HEYWOOD, Guy",Mayor,269,124,280,324,430,492,374,336,185,987,100,22,3923,no,https://www.cnv.org/City-Hall/News-Room/Whats-New/2022/10/19/Official-Results-of-2022-City-Election-Announced
"VALENTE, Tony",Councillor,350,230,319,420,563,721,427,576,244,1266,142,14,5272,yes,https://www.cnv.org/City-Hall/News-Room/Whats-New/2022/10/19/Official-Results-of-2022-City-Election-Announced
"BELL, Don",Councillor,383,212,353,422,588,642,424,499,254,1277,132,35,5221,yes,https://www.cnv.org/City-Hall/News-Room/Whats-New/2022/10/19/Official-Results-of-2022-City-Election-Announced
"GIRARD, Angela",Councillor,380,226,312,430,551,677,382,513,289,1211,150,19,5140,yes,https://www.cnv.org/City-Hall/News-Room/Whats-New/2022/10/19/Official-Results-of-2022-City-Election-Announced
"SHAHRIARI, Shervin",Councillor,397,187,310,343,540,560,408,406,244,1084,110,7,4596,yes,https://www.cnv.org/City-Hall/News-Room/Whats-New/2022/10/19/Official-Results-of-2022-City-Election-Announced
"McILROY, Jessica",Councillor,283,183,233,318,435,487,279,403,195,972,107,18,3913,yes,https://www.cnv.org/City-Hall/News-Room/Whats-New/2022/10/19/Official-Results-of-2022-City-Election-Announced
"BACK, Holly",Councillor,312,166,231,313,399,452,312,415,169,988,115,20,3892,yes,https://www.cnv.org/City-Hall/News-Room/Whats-New/2022/10/19/Official-Results-of-2022-City-Election-Announced
"McGRENERA, Kathy",Councillor,271,128,223,325,459,456,254,342,217,935,101,15,3726,no,https://www.cnv.org/City-Hall/News-Room/Whats-New/2022/10/19/Official-Results-of-2022-City-Election-Announced
"CATO, Jeremy",Councillor,239,109,229,294,393,407,292,351,168,848,94,10,3434,no,https://www.cnv.org/City-Hall/News-Room/Whats-New/2022/10/19/Official-Results-of-2022-City-Election-Announced
"BOLTENKO, Anna",Councillor,226,128,217,294,363,361,233,360,173,815,75,11,3256,no,https://www.cnv.org/City-Hall/News-Room/Whats-New/2022/10/19/Official-Results-of-2022-City-Election-Announced
"LACESTE, Me-An",Councillor,189,107,150,247,279,297,228,237,165,566,50,11,2526,no,https://www.cnv.org/City-Hall/News-Room/Whats-New/2022/10/19/Official-Results-of-2022-City-Election-Announced
"POLLY, Ron",Councillor,138,67,149,174,222,260,212,193,101,487,60,8,2071,no,https://www.cnv.org/City-Hall/News-Room/Whats-New/2022/10/19/Official-Results-of-2022-City-Election-Announced
"LAI, Max",Councillor,148,79,146,155,223,177,162,229,96,464,57,7,1943,no,https://www.cnv.org/City-Hall/News-Room/Whats-New/2022/10/19/Official-Results-of-2022-City-Election-Announced
"ANDERSON, Daniel",School Trustee,418,235,357,487,628,648,461,545,304,1336,149,25,5593,yes,https://www.cnv.org/City-Hall/News-Room/Whats-New/2022/10/19/Official-Results-of-2022-City-Election-Announced
"TUMANENG, Lailani",School Trustee,352,201,272,403,532,527,343,421,254,1082,128,16,4531,yes,https://www.cnv.org/City-Hall/News-Room/Whats-New/2022/10/19/Official-Results-of-2022-City-Election-Announced
"WILSON, Antje",School Trustee,301,178,273,348,446,586,382,429,202,1136,111,22,4414,yes,https://www.cnv.org/City-Hall/News-Room/Whats-New/2022/10/19/Official-Results-of-2022-City-Election-Announced
"KOLSTEE, Jullian",School Trustee,272,167,237,341,425,420,278,392,216,950,90,15,3803,no,https://www.cnv.org/City-Hall/News-Room/Whats-New/2022/10/19/Official-Results-of-2022-City-Election-Announced
