year,registered_voters,turnout_pct,note,source,definition_note
2022,41325.0,22.64,"CNV labels this ""Total Registered Voters""",https://www.cnv.org/City-Hall/General-Local-Election/Past-Election-Results,"Registered electors are those on the municipal voters list, NOT the census-eligible population. CNV labels 2022 'Total Registered Voters' and earlier years 'Total Eligible Voters'; both mean electors on the list."
2018,38163.0,34.0,,https://www.cnv.org/City-Hall/General-Local-Election/Past-Election-Results,"Registered electors are those on the municipal voters list, NOT the census-eligible population. CNV labels 2022 'Total Registered Voters' and earlier years 'Total Eligible Voters'; both mean electors on the list."
2014,34127.0,30.0,,https://www.cnv.org/City-Hall/General-Local-Election/Past-Election-Results,"Registered electors are those on the municipal voters list, NOT the census-eligible population. CNV labels 2022 'Total Registered Voters' and earlier years 'Total Eligible Voters'; both mean electors on the list."
2011,33415.0,21.2,,https://www.cnv.org/City-Hall/General-Local-Election/Past-Election-Results,"Registered electors are those on the municipal voters list, NOT the census-eligible population. CNV labels 2022 'Total Registered Voters' and earlier years 'Total Eligible Voters'; both mean electors on the list."
2008,31352.0,17.67,Mayor elected by acclamation,https://www.cnv.org/City-Hall/General-Local-Election/Past-Election-Results,"Registered electors are those on the municipal voters list, NOT the census-eligible population. CNV labels 2022 'Total Registered Voters' and earlier years 'Total Eligible Voters'; both mean electors on the list."
2005,30327.0,22.37,,https://www.cnv.org/City-Hall/General-Local-Election/Past-Election-Results,"Registered electors are those on the municipal voters list, NOT the census-eligible population. CNV labels 2022 'Total Registered Voters' and earlier years 'Total Eligible Voters'; both mean electors on the list."
2002,24983.0,26.13,,https://www.cnv.org/City-Hall/General-Local-Election/Past-Election-Results,"Registered electors are those on the municipal voters list, NOT the census-eligible population. CNV labels 2022 'Total Registered Voters' and earlier years 'Total Eligible Voters'; both mean electors on the list."
1999,23193.0,25.99,,https://www.cnv.org/City-Hall/General-Local-Election/Past-Election-Results,"Registered electors are those on the municipal voters list, NOT the census-eligible population. CNV labels 2022 'Total Registered Voters' and earlier years 'Total Eligible Voters'; both mean electors on the list."
1996,,18.79,registered electors not published by CNV for this year,https://www.cnv.org/City-Hall/General-Local-Election/Past-Election-Results,"Registered electors are those on the municipal voters list, NOT the census-eligible population. CNV labels 2022 'Total Registered Voters' and earlier years 'Total Eligible Voters'; both mean electors on the list."
1993,,18.89,registered electors not published by CNV for this year,https://www.cnv.org/City-Hall/General-Local-Election/Past-Election-Results,"Registered electors are those on the municipal voters list, NOT the census-eligible population. CNV labels 2022 'Total Registered Voters' and earlier years 'Total Eligible Voters'; both mean electors on the list."
1990,,21.69,registered electors not published by CNV for this year,https://www.cnv.org/City-Hall/General-Local-Election/Past-Election-Results,"Registered electors are those on the municipal voters list, NOT the census-eligible population. CNV labels 2022 'Total Registered Voters' and earlier years 'Total Eligible Voters'; both mean electors on the list."
1987,,13.33,registered electors not published by CNV for this year,https://www.cnv.org/City-Hall/General-Local-Election/Past-Election-Results,"Registered electors are those on the municipal voters list, NOT the census-eligible population. CNV labels 2022 'Total Registered Voters' and earlier years 'Total Eligible Voters'; both mean electors on the list."
1985,,18.06,registered electors not published by CNV for this year,https://www.cnv.org/City-Hall/General-Local-Election/Past-Election-Results,"Registered electors are those on the municipal voters list, NOT the census-eligible population. CNV labels 2022 'Total Registered Voters' and earlier years 'Total Eligible Voters'; both mean electors on the list."
1983,,13.5,registered electors not published by CNV for this year,https://www.cnv.org/City-Hall/General-Local-Election/Past-Election-Results,"Registered electors are those on the municipal voters list, NOT the census-eligible population. CNV labels 2022 'Total Registered Voters' and earlier years 'Total Eligible Voters'; both mean electors on the list."
1981,,23.0,registered electors not published by CNV for this year,https://www.cnv.org/City-Hall/General-Local-Election/Past-Election-Results,"Registered electors are those on the municipal voters list, NOT the census-eligible population. CNV labels 2022 'Total Registered Voters' and earlier years 'Total Eligible Voters'; both mean electors on the list."
1979,,15.42,registered electors not published by CNV for this year,https://www.cnv.org/City-Hall/General-Local-Election/Past-Election-Results,"Registered electors are those on the municipal voters list, NOT the census-eligible population. CNV labels 2022 'Total Registered Voters' and earlier years 'Total Eligible Voters'; both mean electors on the list."
1978,,7.96,registered electors not published by CNV for this year,https://www.cnv.org/City-Hall/General-Local-Election/Past-Election-Results,"Registered electors are those on the municipal voters list, NOT the census-eligible population. CNV labels 2022 'Total Registered Voters' and earlier years 'Total Eligible Voters'; both mean electors on the list."
1977,,21.8,registered electors not published by CNV for this year,https://www.cnv.org/City-Hall/General-Local-Election/Past-Election-Results,"Registered electors are those on the municipal voters list, NOT the census-eligible population. CNV labels 2022 'Total Registered Voters' and earlier years 'Total Eligible Voters'; both mean electors on the list."
1976,,14.97,registered electors not published by CNV for this year,https://www.cnv.org/City-Hall/General-Local-Election/Past-Election-Results,"Registered electors are those on the municipal voters list, NOT the census-eligible population. CNV labels 2022 'Total Registered Voters' and earlier years 'Total Eligible Voters'; both mean electors on the list."
1975,,22.9,registered electors not published by CNV for this year,https://www.cnv.org/City-Hall/General-Local-Election/Past-Election-Results,"Registered electors are those on the municipal voters list, NOT the census-eligible population. CNV labels 2022 'Total Registered Voters' and earlier years 'Total Eligible Voters'; both mean electors on the list."
1974,,13.43,registered electors not published by CNV for this year,https://www.cnv.org/City-Hall/General-Local-Election/Past-Election-Results,"Registered electors are those on the municipal voters list, NOT the census-eligible population. CNV labels 2022 'Total Registered Voters' and earlier years 'Total Eligible Voters'; both mean electors on the list."
