intersection_id,street_names,neighbourhood,public_space_composite,signalised,full_signal,signal_timing_status,check_sightlines,check_grade_slope,check_curvature,check_sidewalk_width,check_pedestrian_volume,check_signal_cycle_seconds,check_pedestrian_walk_interval,check_noise_environment,check_lighting,check_public_realm_space,instruction
CNV-INT-0385,E 15TH ST / LONSDALE AVE / W 15TH ST,Central Lonsdale,90.32,True,True,REQUEST_REQUIRED,"Obstructions to sightlines on each approach? (vegetation, parked vehicles, signage)",Noticeable grade or crest limiting visibility?,Curved approach reducing approach visibility?,Usable footway width clear of street furniture (m)?,"Observed pedestrian count, 15 min, with date and time",Measured signal cycle length (s) - not published by CNV,Measured walk interval (s) - not published by CNV,Ambient noise limiting conversation?,Lighting adequate after dark?,Space to stand clear of the footway travel path?,"Field observation is required for these attributes because no public dataset publishes them for CNV. Record the date, time and observer for each visit."
CNV-INT-0273,E 3RD ST / LONSDALE AVE / W 3RD ST,Lower Lonsdale,88.31,True,True,REQUEST_REQUIRED,"Obstructions to sightlines on each approach? (vegetation, parked vehicles, signage)",Noticeable grade or crest limiting visibility?,Curved approach reducing approach visibility?,Usable footway width clear of street furniture (m)?,"Observed pedestrian count, 15 min, with date and time",Measured signal cycle length (s) - not published by CNV,Measured walk interval (s) - not published by CNV,Ambient noise limiting conversation?,Lighting adequate after dark?,Space to stand clear of the footway travel path?,"Field observation is required for these attributes because no public dataset publishes them for CNV. Record the date, time and observer for each visit."
CNV-INT-0188,E 13TH ST / LONSDALE AVE / W 13TH ST,Central Lonsdale,87.91,True,True,REQUEST_REQUIRED,"Obstructions to sightlines on each approach? (vegetation, parked vehicles, signage)",Noticeable grade or crest limiting visibility?,Curved approach reducing approach visibility?,Usable footway width clear of street furniture (m)?,"Observed pedestrian count, 15 min, with date and time",Measured signal cycle length (s) - not published by CNV,Measured walk interval (s) - not published by CNV,Ambient noise limiting conversation?,Lighting adequate after dark?,Space to stand clear of the footway travel path?,"Field observation is required for these attributes because no public dataset publishes them for CNV. Record the date, time and observer for each visit."
CNV-INT-0124,E 12TH ST / LONSDALE AVE / W 12TH ST,Central Lonsdale,86.37,True,True,REQUEST_REQUIRED,"Obstructions to sightlines on each approach? (vegetation, parked vehicles, signage)",Noticeable grade or crest limiting visibility?,Curved approach reducing approach visibility?,Usable footway width clear of street furniture (m)?,"Observed pedestrian count, 15 min, with date and time",Measured signal cycle length (s) - not published by CNV,Measured walk interval (s) - not published by CNV,Ambient noise limiting conversation?,Lighting adequate after dark?,Space to stand clear of the footway travel path?,"Field observation is required for these attributes because no public dataset publishes them for CNV. Record the date, time and observer for each visit."
CNV-INT-0281,E 4TH ST / LONSDALE AVE / W 4TH ST,Lower Lonsdale,85.9,True,True,REQUEST_REQUIRED,"Obstructions to sightlines on each approach? (vegetation, parked vehicles, signage)",Noticeable grade or crest limiting visibility?,Curved approach reducing approach visibility?,Usable footway width clear of street furniture (m)?,"Observed pedestrian count, 15 min, with date and time",Measured signal cycle length (s) - not published by CNV,Measured walk interval (s) - not published by CNV,Ambient noise limiting conversation?,Lighting adequate after dark?,Space to stand clear of the footway travel path?,"Field observation is required for these attributes because no public dataset publishes them for CNV. Record the date, time and observer for each visit."
CNV-INT-0389,E 17TH ST / LONSDALE AVE / W 17TH ST,Central Lonsdale,85.75,True,True,REQUEST_REQUIRED,"Obstructions to sightlines on each approach? (vegetation, parked vehicles, signage)",Noticeable grade or crest limiting visibility?,Curved approach reducing approach visibility?,Usable footway width clear of street furniture (m)?,"Observed pedestrian count, 15 min, with date and time",Measured signal cycle length (s) - not published by CNV,Measured walk interval (s) - not published by CNV,Ambient noise limiting conversation?,Lighting adequate after dark?,Space to stand clear of the footway travel path?,"Field observation is required for these attributes because no public dataset publishes them for CNV. Record the date, time and observer for each visit."
CNV-INT-0272,E 2ND ST / LONSDALE AVE / W 2ND ST,Lower Lonsdale,84.84,True,True,REQUEST_REQUIRED,"Obstructions to sightlines on each approach? (vegetation, parked vehicles, signage)",Noticeable grade or crest limiting visibility?,Curved approach reducing approach visibility?,Usable footway width clear of street furniture (m)?,"Observed pedestrian count, 15 min, with date and time",Measured signal cycle length (s) - not published by CNV,Measured walk interval (s) - not published by CNV,Ambient noise limiting conversation?,Lighting adequate after dark?,Space to stand clear of the footway travel path?,"Field observation is required for these attributes because no public dataset publishes them for CNV. Record the date, time and observer for each visit."
CNV-INT-0121,E 11TH ST / LONSDALE AVE / W 8TH ST,Lower Lonsdale,84.64,True,True,REQUEST_REQUIRED,"Obstructions to sightlines on each approach? (vegetation, parked vehicles, signage)",Noticeable grade or crest limiting visibility?,Curved approach reducing approach visibility?,Usable footway width clear of street furniture (m)?,"Observed pedestrian count, 15 min, with date and time",Measured signal cycle length (s) - not published by CNV,Measured walk interval (s) - not published by CNV,Ambient noise limiting conversation?,Lighting adequate after dark?,Space to stand clear of the footway travel path?,"Field observation is required for these attributes because no public dataset publishes them for CNV. Record the date, time and observer for each visit."
CNV-INT-0277,CHESTERFIELD AVE / W ESPLANADE,Lower Lonsdale,83.77,True,True,REQUEST_REQUIRED,"Obstructions to sightlines on each approach? (vegetation, parked vehicles, signage)",Noticeable grade or crest limiting visibility?,Curved approach reducing approach visibility?,Usable footway width clear of street furniture (m)?,"Observed pedestrian count, 15 min, with date and time",Measured signal cycle length (s) - not published by CNV,Measured walk interval (s) - not published by CNV,Ambient noise limiting conversation?,Lighting adequate after dark?,Space to stand clear of the footway travel path?,"Field observation is required for these attributes because no public dataset publishes them for CNV. Record the date, time and observer for each visit."
CNV-INT-0405,E 21ST ST / LONSDALE AVE / W 21ST ST,Central Lonsdale,83.47,True,True,REQUEST_REQUIRED,"Obstructions to sightlines on each approach? (vegetation, parked vehicles, signage)",Noticeable grade or crest limiting visibility?,Curved approach reducing approach visibility?,Usable footway width clear of street furniture (m)?,"Observed pedestrian count, 15 min, with date and time",Measured signal cycle length (s) - not published by CNV,Measured walk interval (s) - not published by CNV,Ambient noise limiting conversation?,Lighting adequate after dark?,Space to stand clear of the footway travel path?,"Field observation is required for these attributes because no public dataset publishes them for CNV. Record the date, time and observer for each visit."
CNV-INT-0266,E ESPLANADE / LONSDALE AVE / W ESPLANADE,Lower Lonsdale,83.43,True,True,REQUEST_REQUIRED,"Obstructions to sightlines on each approach? (vegetation, parked vehicles, signage)",Noticeable grade or crest limiting visibility?,Curved approach reducing approach visibility?,Usable footway width clear of street furniture (m)?,"Observed pedestrian count, 15 min, with date and time",Measured signal cycle length (s) - not published by CNV,Measured walk interval (s) - not published by CNV,Ambient noise limiting conversation?,Lighting adequate after dark?,Space to stand clear of the footway travel path?,"Field observation is required for these attributes because no public dataset publishes them for CNV. Record the date, time and observer for each visit."
CNV-INT-0383,E 14TH ST / LONSDALE AVE,Central Lonsdale,83.2,True,True,REQUEST_REQUIRED,"Obstructions to sightlines on each approach? (vegetation, parked vehicles, signage)",Noticeable grade or crest limiting visibility?,Curved approach reducing approach visibility?,Usable footway width clear of street furniture (m)?,"Observed pedestrian count, 15 min, with date and time",Measured signal cycle length (s) - not published by CNV,Measured walk interval (s) - not published by CNV,Ambient noise limiting conversation?,Lighting adequate after dark?,Space to stand clear of the footway travel path?,"Field observation is required for these attributes because no public dataset publishes them for CNV. Record the date, time and observer for each visit."
CNV-INT-0376,CHESTERFIELD AVE / W 13TH ST,Central Lonsdale,83.1,True,True,REQUEST_REQUIRED,"Obstructions to sightlines on each approach? (vegetation, parked vehicles, signage)",Noticeable grade or crest limiting visibility?,Curved approach reducing approach visibility?,Usable footway width clear of street furniture (m)?,"Observed pedestrian count, 15 min, with date and time",Measured signal cycle length (s) - not published by CNV,Measured walk interval (s) - not published by CNV,Ambient noise limiting conversation?,Lighting adequate after dark?,Space to stand clear of the footway travel path?,"Field observation is required for these attributes because no public dataset publishes them for CNV. Record the date, time and observer for each visit."
CNV-INT-0270,E 1ST ST / LONSDALE AVE / W 1ST ST,Lower Lonsdale,82.93,True,True,REQUEST_REQUIRED,"Obstructions to sightlines on each approach? (vegetation, parked vehicles, signage)",Noticeable grade or crest limiting visibility?,Curved approach reducing approach visibility?,Usable footway width clear of street furniture (m)?,"Observed pedestrian count, 15 min, with date and time",Measured signal cycle length (s) - not published by CNV,Measured walk interval (s) - not published by CNV,Ambient noise limiting conversation?,Lighting adequate after dark?,Space to stand clear of the footway travel path?,"Field observation is required for these attributes because no public dataset publishes them for CNV. Record the date, time and observer for each visit."
CNV-INT-0387,LONSDALE AVE / W 16TH ST,Central Lonsdale,81.87,True,True,REQUEST_REQUIRED,"Obstructions to sightlines on each approach? (vegetation, parked vehicles, signage)",Noticeable grade or crest limiting visibility?,Curved approach reducing approach visibility?,Usable footway width clear of street furniture (m)?,"Observed pedestrian count, 15 min, with date and time",Measured signal cycle length (s) - not published by CNV,Measured walk interval (s) - not published by CNV,Ambient noise limiting conversation?,Lighting adequate after dark?,Space to stand clear of the footway travel path?,"Field observation is required for these attributes because no public dataset publishes them for CNV. Record the date, time and observer for each visit."
