intersection_id,icbc_location,crash_count,street_a,street_b,non_cnv_streets_in_record,exclusion_reason,source,source_url,license,prepared_utc
CNV-INT-0250,E 25TH ST & E 25TH ST OFFRAMP & E 25TH ST ONRAMP & LONSDALE AVE & LONSDALE AVE OFFRAMP & LONSDALE AVE ONRAMP & TRANS-CANADA HWY & W 25TH ST & TURNING LANE,638,E 25TH ST,LONSDALE AVE,TRANS-CANADA HWY,"record names non-CNV streets (typically Highway 1 ramps), so the crash total cannot be attributed to a CNV municipal intersection",ICBC Lower Mainland Crashes - EXCLUDED from the analysis layer,https://public.tableau.com/app/profile/icbc/viz/LowerMainlandCrashes/LMDashboard,Open Data Licence for ICBC Information,2026-08-12T15:03:31+00:00
CNV-INT-0165,BOULEVARD CRES & E 21ST ST & GRAND BLVD OFFRAMP & GRAND BLVD ONRAMP & LYNN VALLEY RD & LYNN VALLEY RD ONRAMP & TRANS-CANADA HWY & WILLIAM AVE OFFRAMP & TURNING LANE,303,BOULEVARD CRES,E 21ST ST,TRANS-CANADA HWY,"record names non-CNV streets (typically Highway 1 ramps), so the crash total cannot be attributed to a CNV municipal intersection",ICBC Lower Mainland Crashes - EXCLUDED from the analysis layer,https://public.tableau.com/app/profile/icbc/viz/LowerMainlandCrashes/LMDashboard,Open Data Licence for ICBC Information,2026-08-12T15:03:31+00:00
CNV-INT-0042,BROOKSBANK AVE & E KEITH RD & HEYWOOD ST & MOUNTAIN HWY,201,E KEITH RD,HEYWOOD ST,MOUNTAIN HWY,"record names non-CNV streets (typically Highway 1 ramps), so the crash total cannot be attributed to a CNV municipal intersection",ICBC Lower Mainland Crashes - EXCLUDED from the analysis layer,https://public.tableau.com/app/profile/icbc/viz/LowerMainlandCrashes/LMDashboard,Open Data Licence for ICBC Information,2026-08-12T15:03:31+00:00
CNV-INT-0346,BEWICKE AVE & MARINE DR & W 2ND LANE & W 3RD ST & W KEITH RD,144,BEWICKE AVE,MARINE DR,W 2ND LANE,"record names non-CNV streets (typically Highway 1 ramps), so the crash total cannot be attributed to a CNV municipal intersection",ICBC Lower Mainland Crashes - EXCLUDED from the analysis layer,https://public.tableau.com/app/profile/icbc/viz/LowerMainlandCrashes/LMDashboard,Open Data Licence for ICBC Information,2026-08-12T15:03:31+00:00
CNV-INT-0468,W 23RD ST & W 24TH CLOSE & WESTVIEW DR,62,W 23RD ST,WESTVIEW DR,W 24TH CLOSE,"record names non-CNV streets (typically Highway 1 ramps), so the crash total cannot be attributed to a CNV municipal intersection",ICBC Lower Mainland Crashes - EXCLUDED from the analysis layer,https://public.tableau.com/app/profile/icbc/viz/LowerMainlandCrashes/LMDashboard,Open Data Licence for ICBC Information,2026-08-12T15:03:31+00:00
CNV-INT-0363,FELL LANE & HANES AVE & MARINE DR,52,HANES AVE,MARINE DR,FELL LANE,"record names non-CNV streets (typically Highway 1 ramps), so the crash total cannot be attributed to a CNV municipal intersection",ICBC Lower Mainland Crashes - EXCLUDED from the analysis layer,https://public.tableau.com/app/profile/icbc/viz/LowerMainlandCrashes/LMDashboard,Open Data Licence for ICBC Information,2026-08-12T15:03:31+00:00
CNV-INT-0189,E 14TH LANE & E 14TH ST & LIONS GATE HOSPITAL & ST GEORGES AVE & SERVICE ROAD,22,E 14TH ST,ST. GEORGES AVE,E 14TH LANE; LIONS GATE HOSPITAL; SERVICE RD,"record names non-CNV streets (typically Highway 1 ramps), so the crash total cannot be attributed to a CNV municipal intersection",ICBC Lower Mainland Crashes - EXCLUDED from the analysis layer,https://public.tableau.com/app/profile/icbc/viz/LowerMainlandCrashes/LMDashboard,Open Data Licence for ICBC Information,2026-08-12T15:03:31+00:00
CNV-INT-0069,E ESPLANADE & ESPLANADE AVE & LOW LEVEL RD & ST ANDREWS AVE & TURNING LANE,22,E ESPLANADE,LOW LEVEL RD,ESPLANADE AVE,"record names non-CNV streets (typically Highway 1 ramps), so the crash total cannot be attributed to a CNV municipal intersection",ICBC Lower Mainland Crashes - EXCLUDED from the analysis layer,https://public.tableau.com/app/profile/icbc/viz/LowerMainlandCrashes/LMDashboard,Open Data Licence for ICBC Information,2026-08-12T15:03:31+00:00
CNV-INT-0345,4TH ST & W 2ND ST & W 3RD ST,19,W 2ND ST,W 3RD ST,4TH ST,"record names non-CNV streets (typically Highway 1 ramps), so the crash total cannot be attributed to a CNV municipal intersection",ICBC Lower Mainland Crashes - EXCLUDED from the analysis layer,https://public.tableau.com/app/profile/icbc/viz/LowerMainlandCrashes/LMDashboard,Open Data Licence for ICBC Information,2026-08-12T15:03:31+00:00
CNV-INT-0164,BOULEVARD CRES & E 19TH ST & GRAND BLVD E,19,BOULEVARD CRES,E 19TH ST,GRAND BLVD E,"record names non-CNV streets (typically Highway 1 ramps), so the crash total cannot be attributed to a CNV municipal intersection",ICBC Lower Mainland Crashes - EXCLUDED from the analysis layer,https://public.tableau.com/app/profile/icbc/viz/LowerMainlandCrashes/LMDashboard,Open Data Licence for ICBC Information,2026-08-12T15:03:31+00:00
