rank,feature_id,feature_name,metric,value,source,methodology_note
1,Lower Lonsdale,Lower Lonsdale,population_density,11134.0556,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas","Areally interpolated from 2021 dissemination areas into CNV neighbourhood boundaries, assuming uniform distribution within each DA. Estimate, not a count."
2,Central Lonsdale,Central Lonsdale,population_density,9190.5492,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas","Areally interpolated from 2021 dissemination areas into CNV neighbourhood boundaries, assuming uniform distribution within each DA. Estimate, not a count."
3,Squamish Nation (Mission IR 1),Squamish Nation (Mission IR 1),population_density,5757.3184,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas","Areally interpolated from 2021 dissemination areas into CNV neighbourhood boundaries, assuming uniform distribution within each DA. Estimate, not a count."
4,Westview,Westview,population_density,4766.6748,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas","Areally interpolated from 2021 dissemination areas into CNV neighbourhood boundaries, assuming uniform distribution within each DA. Estimate, not a count."
5,Tempe,Tempe,population_density,3892.141,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas","Areally interpolated from 2021 dissemination areas into CNV neighbourhood boundaries, assuming uniform distribution within each DA. Estimate, not a count."
6,Cedar Village,Cedar Village,population_density,3886.0697,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas","Areally interpolated from 2021 dissemination areas into CNV neighbourhood boundaries, assuming uniform distribution within each DA. Estimate, not a count."
7,Marine-Hamilton,Marine-Hamilton,population_density,3038.8673,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas","Areally interpolated from 2021 dissemination areas into CNV neighbourhood boundaries, assuming uniform distribution within each DA. Estimate, not a count."
8,Mahon,Mahon,population_density,2869.7609,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas","Areally interpolated from 2021 dissemination areas into CNV neighbourhood boundaries, assuming uniform distribution within each DA. Estimate, not a count."
9,Grand Boulevard,Grand Boulevard,population_density,2504.5745,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas","Areally interpolated from 2021 dissemination areas into CNV neighbourhood boundaries, assuming uniform distribution within each DA. Estimate, not a count."
10,Moodyville,Moodyville,population_density,1741.5778,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas","Areally interpolated from 2021 dissemination areas into CNV neighbourhood boundaries, assuming uniform distribution within each DA. Estimate, not a count."
1,Lower Lonsdale,Lower Lonsdale,adult_population_density,9939.38,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas","Areally interpolated from 2021 dissemination areas into CNV neighbourhood boundaries, assuming uniform distribution within each DA. Estimate, not a count."
2,Central Lonsdale,Central Lonsdale,adult_population_density,7913.2363,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas","Areally interpolated from 2021 dissemination areas into CNV neighbourhood boundaries, assuming uniform distribution within each DA. Estimate, not a count."
3,Squamish Nation (Mission IR 1),Squamish Nation (Mission IR 1),adult_population_density,5002.3312,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas","Areally interpolated from 2021 dissemination areas into CNV neighbourhood boundaries, assuming uniform distribution within each DA. Estimate, not a count."
4,Westview,Westview,adult_population_density,3842.0558,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas","Areally interpolated from 2021 dissemination areas into CNV neighbourhood boundaries, assuming uniform distribution within each DA. Estimate, not a count."
5,Tempe,Tempe,adult_population_density,3117.3261,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas","Areally interpolated from 2021 dissemination areas into CNV neighbourhood boundaries, assuming uniform distribution within each DA. Estimate, not a count."
6,Cedar Village,Cedar Village,adult_population_density,2771.5081,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas","Areally interpolated from 2021 dissemination areas into CNV neighbourhood boundaries, assuming uniform distribution within each DA. Estimate, not a count."
7,Marine-Hamilton,Marine-Hamilton,adult_population_density,2461.9513,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas","Areally interpolated from 2021 dissemination areas into CNV neighbourhood boundaries, assuming uniform distribution within each DA. Estimate, not a count."
8,Mahon,Mahon,adult_population_density,2304.4799,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas","Areally interpolated from 2021 dissemination areas into CNV neighbourhood boundaries, assuming uniform distribution within each DA. Estimate, not a count."
9,Grand Boulevard,Grand Boulevard,adult_population_density,1966.6891,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas","Areally interpolated from 2021 dissemination areas into CNV neighbourhood boundaries, assuming uniform distribution within each DA. Estimate, not a count."
10,Moodyville,Moodyville,adult_population_density,1422.024,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas","Areally interpolated from 2021 dissemination areas into CNV neighbourhood boundaries, assuming uniform distribution within each DA. Estimate, not a count."
1,Lower Lonsdale,Lower Lonsdale,senior_density,2061.754,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas","Areally interpolated from 2021 dissemination areas into CNV neighbourhood boundaries, assuming uniform distribution within each DA. Estimate, not a count."
2,Central Lonsdale,Central Lonsdale,senior_density,1925.6235,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas","Areally interpolated from 2021 dissemination areas into CNV neighbourhood boundaries, assuming uniform distribution within each DA. Estimate, not a count."
3,Squamish Nation (Mission IR 1),Squamish Nation (Mission IR 1),senior_density,817.1832,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas","Areally interpolated from 2021 dissemination areas into CNV neighbourhood boundaries, assuming uniform distribution within each DA. Estimate, not a count."
4,Westview,Westview,senior_density,789.2618,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas","Areally interpolated from 2021 dissemination areas into CNV neighbourhood boundaries, assuming uniform distribution within each DA. Estimate, not a count."
5,Tempe,Tempe,senior_density,689.343,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas","Areally interpolated from 2021 dissemination areas into CNV neighbourhood boundaries, assuming uniform distribution within each DA. Estimate, not a count."
6,Mahon,Mahon,senior_density,454.469,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas","Areally interpolated from 2021 dissemination areas into CNV neighbourhood boundaries, assuming uniform distribution within each DA. Estimate, not a count."
7,Grand Boulevard,Grand Boulevard,senior_density,429.4288,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas","Areally interpolated from 2021 dissemination areas into CNV neighbourhood boundaries, assuming uniform distribution within each DA. Estimate, not a count."
8,Marine-Hamilton,Marine-Hamilton,senior_density,310.0337,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas","Areally interpolated from 2021 dissemination areas into CNV neighbourhood boundaries, assuming uniform distribution within each DA. Estimate, not a count."
9,Cedar Village,Cedar Village,senior_density,306.8587,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas","Areally interpolated from 2021 dissemination areas into CNV neighbourhood boundaries, assuming uniform distribution within each DA. Estimate, not a count."
10,Moodyville,Moodyville,senior_density,205.9467,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas","Areally interpolated from 2021 dissemination areas into CNV neighbourhood boundaries, assuming uniform distribution within each DA. Estimate, not a count."
1,Lower Lonsdale,Lower Lonsdale,housing_density,6167.7575,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas","Areally interpolated from 2021 dissemination areas into CNV neighbourhood boundaries, assuming uniform distribution within each DA. Estimate, not a count."
