place_name,address,place_type,mayoral_votes_2022,residents_within_400m,adult_18plus_proxy_within_400m,seniors_65plus_within_400m,residents_within_800m,adult_18plus_proxy_within_800m,seniors_65plus_within_800m,residents_within_1600m,adult_18plus_proxy_within_1600m,seniors_65plus_within_1600m,source,methodology_note,adult_proxy_disclaimer,polling_boundary_status
Queen Mary Elementary School,230 West Keith Rd,General,1021.0,5198,4479,1062,21958,19366,4335,46043,39589,8375,CNV official election records; Statistics Canada 2021 Census Profile,"Resident counts are areally interpolated from 2021 dissemination areas into circular buffers and are estimates, not counts.","Population aged 18 and over from the 2021 Census of Population, used as a demographic proxy for potential electorate size. This is NOT a count of eligible or registered electors: it excludes citizenship and residency requirements, reflects 2021 conditions, and is subject to Statistics Canada random rounding.",NOT_AVAILABLE
North Vancouver City Hall (Conference Room A),141 West 14th St,Advance,,7780,6835,1811,21209,18456,4226,46970,40333,8717,CNV official election records; Statistics Canada 2021 Census Profile,"Resident counts are areally interpolated from 2021 dissemination areas into circular buffers and are estimates, not counts.","Population aged 18 and over from the 2021 Census of Population, used as a demographic proxy for potential electorate size. This is NOT a count of eligible or registered electors: it excludes citizenship and residency requirements, reflects 2021 conditions, and is subject to Statistics Canada random rounding.",NOT_AVAILABLE
North Shore Neighbourhood House,225 East 2nd St,General,742.0,5432,4908,1082,16667,14853,3103,35890,31233,6727,CNV official election records; Statistics Canada 2021 Census Profile,"Resident counts are areally interpolated from 2021 dissemination areas into circular buffers and are estimates, not counts.","Population aged 18 and over from the 2021 Census of Population, used as a demographic proxy for potential electorate size. This is NOT a count of eligible or registered electors: it excludes citizenship and residency requirements, reflects 2021 conditions, and is subject to Statistics Canada random rounding.",NOT_AVAILABLE
The Pipe Shop,115 Victory Ship Way,General,946.0,4494,4158,1095,14539,13113,2679,33151,28948,6170,CNV official election records; Statistics Canada 2021 Census Profile,"Resident counts are areally interpolated from 2021 dissemination areas into circular buffers and are estimates, not counts.","Population aged 18 and over from the 2021 Census of Population, used as a demographic proxy for potential electorate size. This is NOT a count of eligible or registered electors: it excludes citizenship and residency requirements, reflects 2021 conditions, and is subject to Statistics Canada random rounding.",NOT_AVAILABLE
Memorial Recreation Centre,125 East 23rd St,General,594.0,2600,2214,441,10459,8853,2027,30635,25729,5986,CNV official election records; Statistics Canada 2021 Census Profile,"Resident counts are areally interpolated from 2021 dissemination areas into circular buffers and are estimates, not counts.","Population aged 18 and over from the 2021 Census of Population, used as a demographic proxy for potential electorate size. This is NOT a count of eligible or registered electors: it excludes citizenship and residency requirements, reflects 2021 conditions, and is subject to Statistics Canada random rounding.",NOT_AVAILABLE
Ridgeway Elementary School,420 East 8th St,General,1117.0,1923,1545,332,8835,7287,1598,38092,32805,7143,CNV official election records; Statistics Canada 2021 Census Profile,"Resident counts are areally interpolated from 2021 dissemination areas into circular buffers and are estimates, not counts.","Population aged 18 and over from the 2021 Census of Population, used as a demographic proxy for potential electorate size. This is NOT a count of eligible or registered electors: it excludes citizenship and residency requirements, reflects 2021 conditions, and is subject to Statistics Canada random rounding.",NOT_AVAILABLE
Carson Graham Secondary School,2145 Jones Ave,General,703.0,1637,1331,288,8422,6935,1487,32774,27749,5939,CNV official election records; Statistics Canada 2021 Census Profile,"Resident counts are areally interpolated from 2021 dissemination areas into circular buffers and are estimates, not counts.","Population aged 18 and over from the 2021 Census of Population, used as a demographic proxy for potential electorate size. This is NOT a count of eligible or registered electors: it excludes citizenship and residency requirements, reflects 2021 conditions, and is subject to Statistics Canada random rounding.",NOT_AVAILABLE
Westview Elementary School,641 West 17th St,General,479.0,1114,869,141,5642,4534,721,35399,30503,6306,CNV official election records; Statistics Canada 2021 Census Profile,"Resident counts are areally interpolated from 2021 dissemination areas into circular buffers and are estimates, not counts.","Population aged 18 and over from the 2021 Census of Population, used as a demographic proxy for potential electorate size. This is NOT a count of eligible or registered electors: it excludes citizenship and residency requirements, reflects 2021 conditions, and is subject to Statistics Canada random rounding.",NOT_AVAILABLE
Larson Elementary School,2605 Larson Rd,General,376.0,1746,1383,259,4398,3539,754,19181,15969,3536,CNV official election records; Statistics Canada 2021 Census Profile,"Resident counts are areally interpolated from 2021 dissemination areas into circular buffers and are estimates, not counts.","Population aged 18 and over from the 2021 Census of Population, used as a demographic proxy for potential electorate size. This is NOT a count of eligible or registered electors: it excludes citizenship and residency requirements, reflects 2021 conditions, and is subject to Statistics Canada random rounding.",NOT_AVAILABLE
Sutherland Secondary School,1860 Sutherland Ave,General,725.0,935,729,156,3729,2897,597,19931,16526,3687,CNV official election records; Statistics Canada 2021 Census Profile,"Resident counts are areally interpolated from 2021 dissemination areas into circular buffers and are estimates, not counts.","Population aged 18 and over from the 2021 Census of Population, used as a demographic proxy for potential electorate size. This is NOT a count of eligible or registered electors: it excludes citizenship and residency requirements, reflects 2021 conditions, and is subject to Statistics Canada random rounding.",NOT_AVAILABLE
