rank,intersection_id,street_names,neighbourhood,road_hierarchy_score,transit_score,pedestrian_proxy_score,parking_access_score,intersection_prominence_score,public_space_composite,components_available,composite_rank,safety_score,collision_count,collision_data_available,nearest_traffic_volume,traffic_volume_available,metric,value,source,methodology_note
1,CNV-INT-0385,E 15TH ST / LONSDALE AVE / W 15TH ST,Central Lonsdale,87.48,95.32,94.55,88.23,86.02,90.32,5,1.0,0.76,104.0,True,,False,public_space_composite,90.32,Derived; see DATA_SOURCES.md for each contributing layer,"Unweighted mean of full-coverage 0-100 percentile-rank components. Neutral public-space measure containing no political variable. safety_score and nearest_traffic_volume are reported as separate columns, NOT folded into the composite, because their coverage is partial."
2,CNV-INT-0273,E 3RD ST / LONSDALE AVE / W 3RD ST,Lower Lonsdale,87.48,97.57,95.88,74.61,86.02,88.31,5,2.0,1.15,102.0,True,,False,public_space_composite,88.31,Derived; see DATA_SOURCES.md for each contributing layer,"Unweighted mean of full-coverage 0-100 percentile-rank components. Neutral public-space measure containing no political variable. safety_score and nearest_traffic_volume are reported as separate columns, NOT folded into the composite, because their coverage is partial."
3,CNV-INT-0188,E 13TH ST / LONSDALE AVE / W 13TH ST,Central Lonsdale,87.48,88.15,90.72,87.17,86.02,87.91,5,3.0,1.91,85.0,True,,False,public_space_composite,87.91,Derived; see DATA_SOURCES.md for each contributing layer,"Unweighted mean of full-coverage 0-100 percentile-rank components. Neutral public-space measure containing no political variable. safety_score and nearest_traffic_volume are reported as separate columns, NOT folded into the composite, because their coverage is partial."
4,CNV-INT-0124,E 12TH ST / LONSDALE AVE / W 12TH ST,Central Lonsdale,87.48,84.35,92.12,81.9,86.02,86.37,5,4.0,19.27,22.0,True,,False,public_space_composite,86.37,Derived; see DATA_SOURCES.md for each contributing layer,"Unweighted mean of full-coverage 0-100 percentile-rank components. Neutral public-space measure containing no political variable. safety_score and nearest_traffic_volume are reported as separate columns, NOT folded into the composite, because their coverage is partial."
5,CNV-INT-0281,E 4TH ST / LONSDALE AVE / W 4TH ST,Lower Lonsdale,87.48,94.74,90.86,70.38,86.02,85.9,5,5.0,16.6,25.0,True,,False,public_space_composite,85.9,Derived; see DATA_SOURCES.md for each contributing layer,"Unweighted mean of full-coverage 0-100 percentile-rank components. Neutral public-space measure containing no political variable. safety_score and nearest_traffic_volume are reported as separate columns, NOT folded into the composite, because their coverage is partial."
6,CNV-INT-0389,E 17TH ST / LONSDALE AVE / W 17TH ST,Central Lonsdale,87.48,91.76,89.35,74.13,86.02,85.75,5,6.0,2.86,74.0,True,,False,public_space_composite,85.75,Derived; see DATA_SOURCES.md for each contributing layer,"Unweighted mean of full-coverage 0-100 percentile-rank components. Neutral public-space measure containing no political variable. safety_score and nearest_traffic_volume are reported as separate columns, NOT folded into the composite, because their coverage is partial."
7,CNV-INT-0272,E 2ND ST / LONSDALE AVE / W 2ND ST,Lower Lonsdale,87.48,95.09,95.69,69.96,75.96,84.84,5,7.0,11.64,31.0,True,,False,public_space_composite,84.84,Derived; see DATA_SOURCES.md for each contributing layer,"Unweighted mean of full-coverage 0-100 percentile-rank components. Neutral public-space measure containing no political variable. safety_score and nearest_traffic_volume are reported as separate columns, NOT folded into the composite, because their coverage is partial."
8,CNV-INT-0121,E 11TH ST / LONSDALE AVE / W 8TH ST,Lower Lonsdale,87.48,80.92,87.9,80.86,86.02,84.64,5,8.0,26.15,16.0,True,,False,public_space_composite,84.64,Derived; see DATA_SOURCES.md for each contributing layer,"Unweighted mean of full-coverage 0-100 percentile-rank components. Neutral public-space measure containing no political variable. safety_score and nearest_traffic_volume are reported as separate columns, NOT folded into the composite, because their coverage is partial."
9,CNV-INT-0277,CHESTERFIELD AVE / W ESPLANADE,Lower Lonsdale,87.48,97.29,91.65,66.02,76.4,83.77,5,9.0,15.46,27.0,True,,False,public_space_composite,83.77,Derived; see DATA_SOURCES.md for each contributing layer,"Unweighted mean of full-coverage 0-100 percentile-rank components. Neutral public-space measure containing no political variable. safety_score and nearest_traffic_volume are reported as separate columns, NOT folded into the composite, because their coverage is partial."
10,CNV-INT-0405,E 21ST ST / LONSDALE AVE / W 21ST ST,Central Lonsdale,87.48,87.18,83.16,73.51,86.02,83.47,5,10.0,2.29,76.0,True,,False,public_space_composite,83.47,Derived; see DATA_SOURCES.md for each contributing layer,"Unweighted mean of full-coverage 0-100 percentile-rank components. Neutral public-space measure containing no political variable. safety_score and nearest_traffic_volume are reported as separate columns, NOT folded into the composite, because their coverage is partial."
11,CNV-INT-0266,E ESPLANADE / LONSDALE AVE / W ESPLANADE,Lower Lonsdale,87.48,97.6,86.79,59.25,86.02,83.43,5,11.0,8.59,46.0,True,,False,public_space_composite,83.43,Derived; see DATA_SOURCES.md for each contributing layer,"Unweighted mean of full-coverage 0-100 percentile-rank components. Neutral public-space measure containing no political variable. safety_score and nearest_traffic_volume are reported as separate columns, NOT folded into the composite, because their coverage is partial."
12,CNV-INT-0383,E 14TH ST / LONSDALE AVE,Central Lonsdale,87.48,95.83,89.8,85.08,57.83,83.2,5,12.0,7.25,53.0,True,,False,public_space_composite,83.2,Derived; see DATA_SOURCES.md for each contributing layer,"Unweighted mean of full-coverage 0-100 percentile-rank components. Neutral public-space measure containing no political variable. safety_score and nearest_traffic_volume are reported as separate columns, NOT folded into the composite, because their coverage is partial."
13,CNV-INT-0376,CHESTERFIELD AVE / W 13TH ST,Central Lonsdale,87.48,76.06,86.48,89.06,76.4,83.1,5,13.0,7.82,52.0,True,,False,public_space_composite,83.1,Derived; see DATA_SOURCES.md for each contributing layer,"Unweighted mean of full-coverage 0-100 percentile-rank components. Neutral public-space measure containing no political variable. safety_score and nearest_traffic_volume are reported as separate columns, NOT folded into the composite, because their coverage is partial."
14,CNV-INT-0270,E 1ST ST / LONSDALE AVE / W 1ST ST,Lower Lonsdale,87.48,94.38,92.52,64.31,75.96,82.93,5,14.0,9.35,42.0,True,,False,public_space_composite,82.93,Derived; see DATA_SOURCES.md for each contributing layer,"Unweighted mean of full-coverage 0-100 percentile-rank components. Neutral public-space measure containing no political variable. safety_score and nearest_traffic_volume are reported as separate columns, NOT folded into the composite, because their coverage is partial."
15,CNV-INT-0387,LONSDALE AVE / W 16TH ST,Central Lonsdale,87.48,95.07,89.27,79.71,57.83,81.87,5,15.0,6.11,56.0,True,,False,public_space_composite,81.87,Derived; see DATA_SOURCES.md for each contributing layer,"Unweighted mean of full-coverage 0-100 percentile-rank components. Neutral public-space measure containing no political variable. safety_score and nearest_traffic_volume are reported as separate columns, NOT folded into the composite, because their coverage is partial."
16,CNV-INT-0209,E 19TH ST / LONSDALE AVE / W 19TH ST,Central Lonsdale,87.48,77.46,82.67,73.16,86.02,81.36,5,16.0,5.15,59.0,True,,False,public_space_composite,81.36,Derived; see DATA_SOURCES.md for each contributing layer,"Unweighted mean of full-coverage 0-100 percentile-rank components. Neutral public-space measure containing no political variable. safety_score and nearest_traffic_volume are reported as separate columns, NOT folded into the composite, because their coverage is partial."
