recommendation_rank,street_names,neighbourhood,public_space_composite,headline,transit_departures_250m,transit_stops_250m,population_2021_400m,onstreet_supply_250m,onstreet_peak_occupancy_250m,full_signal,signalised,leg_count,collision_count,collision_data_available,reason_text,basis,neutrality,legal_note
1,E 15TH ST / LONSDALE AVE / W 15TH ST,Central Lonsdale,90.32,"transit hub, high footfall, signalised, easy parking",1033.0,7,7875.7,682.0,0.649,True,True,4,104.0,True,"Very high transit activity: 1,033 scheduled weekday bus departures within 250 m across 7 stops — a steady stream of people on foot. Dense residential catchment: about 7,876 residents live within a 5-minute walk (400 m). Commercial frontage nearby (11.6 ha of commercial/mixed land use within 250 m), so there is footfall beyond residents. Full traffic signal: pedestrians and drivers actually stop here, which creates dwell time rather than passing traffic. Prominent junction with 4 approaches — visible from several directions at once. 682 on-street parking spaces within 250 m for loading in and out. CAUTION: 104 recorded collisions here — one of the higher-collision junctions in the city. Stand well back from the kerb.","Public-space exposure only: transit activity, resident catchment, commercial frontage, junction prominence and parking access.","Contains no political variable. Identical for any campaign of any viewpoint. Measures where people are, not who they are.","BC's Local Government Act restricts campaigning at and near voting places on voting day, and CNV requires permits for some activities on City property. Confirm with the CNV Chief Election Officer before campaigning at any location."
2,E 3RD ST / LONSDALE AVE / W 3RD ST,Lower Lonsdale,88.31,"transit hub, high footfall, signalised",1109.0,10,8413.4,609.0,0.804,True,True,4,102.0,True,"Very high transit activity: 1,109 scheduled weekday bus departures within 250 m across 10 stops — a steady stream of people on foot. Dense residential catchment: about 8,413 residents live within a 5-minute walk (400 m). Commercial frontage nearby (8.4 ha of commercial/mixed land use within 250 m), so there is footfall beyond residents. Full traffic signal: pedestrians and drivers actually stop here, which creates dwell time rather than passing traffic. Prominent junction with 4 approaches — visible from several directions at once. 609 on-street parking spaces within 250 m for loading in and out. CAUTION: 102 recorded collisions here — one of the higher-collision junctions in the city. Stand well back from the kerb.","Public-space exposure only: transit activity, resident catchment, commercial frontage, junction prominence and parking access.","Contains no political variable. Identical for any campaign of any viewpoint. Measures where people are, not who they are.","BC's Local Government Act restricts campaigning at and near voting places on voting day, and CNV requires permits for some activities on City property. Confirm with the CNV Chief Election Officer before campaigning at any location."
3,E 13TH ST / LONSDALE AVE / W 13TH ST,Central Lonsdale,87.91,"transit hub, high footfall, signalised, easy parking",807.0,5,7705.5,674.0,0.659,True,True,4,85.0,True,"Very high transit activity: 807 scheduled weekday bus departures within 250 m across 5 stops — a steady stream of people on foot. Dense residential catchment: about 7,706 residents live within a 5-minute walk (400 m). Commercial frontage nearby (9.2 ha of commercial/mixed land use within 250 m), so there is footfall beyond residents. Full traffic signal: pedestrians and drivers actually stop here, which creates dwell time rather than passing traffic. Prominent junction with 4 approaches — visible from several directions at once. 674 on-street parking spaces within 250 m for loading in and out. CAUTION: 85 recorded collisions here — one of the higher-collision junctions in the city. Stand well back from the kerb.","Public-space exposure only: transit activity, resident catchment, commercial frontage, junction prominence and parking access.","Contains no political variable. Identical for any campaign of any viewpoint. Measures where people are, not who they are.","BC's Local Government Act restricts campaigning at and near voting places on voting day, and CNV requires permits for some activities on City property. Confirm with the CNV Chief Election Officer before campaigning at any location."
4,E 12TH ST / LONSDALE AVE / W 12TH ST,Central Lonsdale,86.37,"high footfall, signalised, easy parking",715.0,5,7442.7,629.0,0.703,True,True,4,22.0,True,"Good transit activity: 715 weekday departures within 250 m. Dense residential catchment: about 7,443 residents live within a 5-minute walk (400 m). Commercial frontage nearby (5.6 ha of commercial/mixed land use within 250 m), so there is footfall beyond residents. Full traffic signal: pedestrians and drivers actually stop here, which creates dwell time rather than passing traffic. Prominent junction with 4 approaches — visible from several directions at once. 629 on-street parking spaces within 250 m for loading in and out.","Public-space exposure only: transit activity, resident catchment, commercial frontage, junction prominence and parking access.","Contains no political variable. Identical for any campaign of any viewpoint. Measures where people are, not who they are.","BC's Local Government Act restricts campaigning at and near voting places on voting day, and CNV requires permits for some activities on City property. Confirm with the CNV Chief Election Officer before campaigning at any location."
5,E 4TH ST / LONSDALE AVE / W 4TH ST,Lower Lonsdale,85.9,"transit hub, high footfall, signalised",952.0,9,8387.8,593.0,0.821,True,True,4,25.0,True,"Very high transit activity: 952 scheduled weekday bus departures within 250 m across 9 stops — a steady stream of people on foot. Dense residential catchment: about 8,388 residents live within a 5-minute walk (400 m). Commercial frontage nearby (4.8 ha of commercial/mixed land use within 250 m), so there is footfall beyond residents. Full traffic signal: pedestrians and drivers actually stop here, which creates dwell time rather than passing traffic. Prominent junction with 4 approaches — visible from several directions at once. 593 on-street parking spaces within 250 m for loading in and out.","Public-space exposure only: transit activity, resident catchment, commercial frontage, junction prominence and parking access.","Contains no political variable. Identical for any campaign of any viewpoint. Measures where people are, not who they are.","BC's Local Government Act restricts campaigning at and near voting places on voting day, and CNV requires permits for some activities on City property. Confirm with the CNV Chief Election Officer before campaigning at any location."
6,E 17TH ST / LONSDALE AVE / W 17TH ST,Central Lonsdale,85.75,"transit hub, high footfall, signalised",854.0,6,6651.7,727.0,0.881,True,True,4,74.0,True,"Very high transit activity: 854 scheduled weekday bus departures within 250 m across 6 stops — a steady stream of people on foot. Dense residential catchment: about 6,652 residents live within a 5-minute walk (400 m). Commercial frontage nearby (6.3 ha of commercial/mixed land use within 250 m), so there is footfall beyond residents. Full traffic signal: pedestrians and drivers actually stop here, which creates dwell time rather than passing traffic. Prominent junction with 4 approaches — visible from several directions at once. 727 on-street spaces within 250 m, but they hit 88% occupancy at peak — arrive early or use a lot. CAUTION: 74 recorded collisions here — one of the higher-collision junctions in the city. Stand well back from the kerb.","Public-space exposure only: transit activity, resident catchment, commercial frontage, junction prominence and parking access.","Contains no political variable. Identical for any campaign of any viewpoint. Measures where people are, not who they are.","BC's Local Government Act restricts campaigning at and near voting places on voting day, and CNV requires permits for some activities on City property. Confirm with the CNV Chief Election Officer before campaigning at any location."
7,E 2ND ST / LONSDALE AVE / W 2ND ST,Lower Lonsdale,84.84,"transit hub, high footfall, signalised",957.0,9,7986.4,522.0,0.857,True,True,4,31.0,True,"Very high transit activity: 957 scheduled weekday bus departures within 250 m across 9 stops — a steady stream of people on foot. Dense residential catchment: about 7,986 residents live within a 5-minute walk (400 m). Commercial frontage nearby (11.9 ha of commercial/mixed land use within 250 m), so there is footfall beyond residents. Full traffic signal: pedestrians and drivers actually stop here, which creates dwell time rather than passing traffic. Prominent junction with 4 approaches — visible from several directions at once. 522 on-street spaces within 250 m, but they hit 86% occupancy at peak — arrive early or use a lot.","Public-space exposure only: transit activity, resident catchment, commercial frontage, junction prominence and parking access.","Contains no political variable. Identical for any campaign of any viewpoint. Measures where people are, not who they are.","BC's Local Government Act restricts campaigning at and near voting places on voting day, and CNV requires permits for some activities on City property. Confirm with the CNV Chief Election Officer before campaigning at any location."
8,E 11TH ST / LONSDALE AVE / W 8TH ST,Lower Lonsdale,84.64,"high footfall, signalised, easy parking",597.0,6,7260.9,564.0,0.694,True,True,4,16.0,True,"Good transit activity: 597 weekday departures within 250 m. Dense residential catchment: about 7,261 residents live within a 5-minute walk (400 m). Full traffic signal: pedestrians and drivers actually stop here, which creates dwell time rather than passing traffic. Prominent junction with 4 approaches — visible from several directions at once. 564 on-street parking spaces within 250 m for loading in and out.","Public-space exposure only: transit activity, resident catchment, commercial frontage, junction prominence and parking access.","Contains no political variable. Identical for any campaign of any viewpoint. Measures where people are, not who they are.","BC's Local Government Act restricts campaigning at and near voting places on voting day, and CNV requires permits for some activities on City property. Confirm with the CNV Chief Election Officer before campaigning at any location."
9,CHESTERFIELD AVE / W ESPLANADE,Lower Lonsdale,83.77,"transit hub, high footfall, signalised",1080.0,16,6033.2,197.0,0.79,True,True,4,27.0,True,"Very high transit activity: 1,080 scheduled weekday bus departures within 250 m across 16 stops — a steady stream of people on foot. Dense residential catchment: about 6,033 residents live within a 5-minute walk (400 m). Commercial frontage nearby (11.1 ha of commercial/mixed land use within 250 m), so there is footfall beyond residents. Full traffic signal: pedestrians and drivers actually stop here, which creates dwell time rather than passing traffic. Prominent junction with 4 approaches — visible from several directions at once. 197 on-street parking spaces within 250 m for loading in and out.","Public-space exposure only: transit activity, resident catchment, commercial frontage, junction prominence and parking access.","Contains no political variable. Identical for any campaign of any viewpoint. Measures where people are, not who they are.","BC's Local Government Act restricts campaigning at and near voting places on voting day, and CNV requires permits for some activities on City property. Confirm with the CNV Chief Election Officer before campaigning at any location."
10,E 21ST ST / LONSDALE AVE / W 21ST ST,Central Lonsdale,83.47,"transit hub, signalised",759.0,5,3517.7,671.0,0.781,True,True,4,76.0,True,"Very high transit activity: 759 scheduled weekday bus departures within 250 m across 5 stops — a steady stream of people on foot. Solid residential catchment: about 3,518 residents within 400 m. Commercial frontage nearby (5.4 ha of commercial/mixed land use within 250 m), so there is footfall beyond residents. Full traffic signal: pedestrians and drivers actually stop here, which creates dwell time rather than passing traffic. Prominent junction with 4 approaches — visible from several directions at once. 671 on-street parking spaces within 250 m for loading in and out. CAUTION: 76 recorded collisions here — one of the higher-collision junctions in the city. Stand well back from the kerb.","Public-space exposure only: transit activity, resident catchment, commercial frontage, junction prominence and parking access.","Contains no political variable. Identical for any campaign of any viewpoint. Measures where people are, not who they are.","BC's Local Government Act restricts campaigning at and near voting places on voting day, and CNV requires permits for some activities on City property. Confirm with the CNV Chief Election Officer before campaigning at any location."
