rank,feature_id,feature_name,metric,value,source,methodology_note
1,59153328,DA 59153328,population_density,25960.0,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
2,59153235,DA 59153235,population_density,24900.0,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
3,59153327,DA 59153327,population_density,24183.33,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
4,59150191,DA 59150191,population_density,22766.67,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
5,59150190,DA 59150190,population_density,20366.67,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
6,59150194,DA 59150194,population_density,19100.0,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
7,59150193,DA 59150193,population_density,18733.33,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
8,59150085,DA 59150085,population_density,18520.0,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
9,59150197,DA 59150197,population_density,18133.33,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
10,59150084,DA 59150084,population_density,17680.0,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
11,59150192,DA 59150192,population_density,17450.0,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
12,59153239,DA 59153239,population_density,16880.0,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
13,59153971,DA 59153971,population_density,16712.5,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
14,59150188,DA 59150188,population_density,15866.67,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
15,59150091,DA 59150091,population_density,15620.0,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
16,59153236,DA 59153236,population_density,15533.33,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
17,59153234,DA 59153234,population_density,14716.67,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
18,59150198,DA 59150198,population_density,14700.0,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
19,59150087,DA 59150087,population_density,14566.67,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
20,59150086,DA 59150086,population_density,14560.0,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
21,59153237,DA 59153237,population_density,14550.0,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
22,59150189,DA 59150189,population_density,14275.0,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
23,59150082,DA 59150082,population_density,14180.0,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
24,59150186,DA 59150186,population_density,13360.0,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
25,59150187,DA 59150187,population_density,12888.89,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
26,59150088,DA 59150088,population_density,12566.67,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
27,59150092,DA 59150092,population_density,11960.0,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
28,59150199,DA 59150199,population_density,11760.0,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
