DAUID,DGUID,LANDAREA,PRUID,population_2021,total_private_dwellings,occupied_private_dwellings,statcan_population_density_km2,land_area_km2,age_total,age_0_14,age_15_64,age_15_19,age_20_24,age_25_29,age_30_34,age_35_39,age_40_44,age_45_49,age_50_54,age_55_59,age_60_64,age_65_plus,age_65_69,age_70_74,age_75_79,age_80_84,age_85_plus,average_age,median_age,dwellings_by_structure_total,dw_single_detached,dw_semi_detached,dw_row_house,dw_apartment_duplex,dw_apartment_lt5_storeys,dw_apartment_5plus_storeys,dw_other_single_attached,dw_movable,households_1_person,average_household_size,citizenship_total,canadian_citizens,canadian_citizens_under_18,canadian_citizens_18plus,not_canadian_citizens,age_18_19_estimated,adult_population_18plus_proxy,adult_proxy_method,senior_population_65plus,senior_population_75plus,senior_population_85plus,age_18_34_proxy,age_35_49,age_50_64,population_density,adult_population_density,senior_density,housing_density,multiunit_dwellings,multiunit_share,apartment_share,highrise_share,townhouse_share,single_family_share,one_person_household_share,canadian_citizens_18plus_proxy,citizen_adult_density,source,source_url,boundary_source,license,adult_proxy_disclaimer,prepared_utc,methodology_note
59150073,2021S051259150073,0.262,59,1009.0,413.0,393.0,3851.1,0.26,1010.0,160.0,715.0,75.0,50.0,50.0,75.0,80.0,90.0,90.0,80.0,65.0,65.0,125.0,50.0,35.0,20.0,10.0,15.0,39.8,40.8,395.0,45.0,0.0,135.0,30.0,185.0,0.0,0.0,0.0,85.0,2.6,1015.0,875.0,195.0,680.0,145.0,30.0,804.0,population_2021 - age_0_14 - (3/5 * age_15_19),125.0,45.0,15.0,205.0,260.0,210.0,3880.7692307692305,3092.3076923076924,480.7692307692308,1511.5384615384614,350.0,0.8860759493670886,0.46835443037974683,0.0,0.34177215189873417,0.11392405063291139,0.21518987341772153,680.0,2615.3846153846152,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",https://www12.statcan.gc.ca/census-recensement/2021/dp-pd/prof/details/download-telecharger.cfm,Statistics Canada 2021 DA cartographic boundary file (92-169-X),Statistics Canada Open Licence,"Population aged 18 and over from the 2021 Census of Population, used as a demographic proxy for potential electorate size. This is NOT a count of eligible or registered electors: it excludes citizenship and residency requirements, reflects 2021 conditions, and is subject to Statistics Canada random rounding.",2026-08-12T14:55:43+00:00,Directly from the 2021 Census Profile for that dissemination area.
59150074,2021S051259150074,0.0658,59,696.0,243.0,242.0,10577.5,0.07,695.0,130.0,500.0,50.0,55.0,30.0,30.0,45.0,45.0,55.0,60.0,60.0,65.0,65.0,30.0,20.0,10.0,5.0,5.0,38.2,39.6,245.0,0.0,5.0,230.0,0.0,5.0,0.0,0.0,0.0,30.0,2.9,740.0,685.0,190.0,500.0,60.0,20.0,536.0,population_2021 - age_0_14 - (3/5 * age_15_19),65.0,20.0,5.0,135.0,145.0,185.0,9942.857142857141,7657.142857142856,928.5714285714284,3457.142857142857,235.0,0.9591836734693877,0.02040816326530612,0.0,0.9387755102040817,0.0,0.12244897959183673,500.0,7142.857142857142,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",https://www12.statcan.gc.ca/census-recensement/2021/dp-pd/prof/details/download-telecharger.cfm,Statistics Canada 2021 DA cartographic boundary file (92-169-X),Statistics Canada Open Licence,"Population aged 18 and over from the 2021 Census of Population, used as a demographic proxy for potential electorate size. This is NOT a count of eligible or registered electors: it excludes citizenship and residency requirements, reflects 2021 conditions, and is subject to Statistics Canada random rounding.",2026-08-12T14:55:43+00:00,Directly from the 2021 Census Profile for that dissemination area.
59150075,2021S051259150075,0.2202,59,427.0,166.0,156.0,1939.1,0.22,425.0,75.0,255.0,20.0,25.0,15.0,15.0,25.0,30.0,35.0,25.0,25.0,30.0,105.0,30.0,35.0,15.0,15.0,10.0,44.2,45.2,155.0,95.0,0.0,0.0,60.0,5.0,0.0,0.0,0.0,30.0,2.7,405.0,365.0,85.0,280.0,40.0,8.0,340.0,population_2021 - age_0_14 - (3/5 * age_15_19),105.0,40.0,10.0,63.0,90.0,80.0,1940.909090909091,1545.4545454545455,477.27272727272725,709.0909090909091,65.0,0.41935483870967744,0.03225806451612903,0.0,0.0,0.6129032258064516,0.1935483870967742,280.0,1272.7272727272727,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",https://www12.statcan.gc.ca/census-recensement/2021/dp-pd/prof/details/download-telecharger.cfm,Statistics Canada 2021 DA cartographic boundary file (92-169-X),Statistics Canada Open Licence,"Population aged 18 and over from the 2021 Census of Population, used as a demographic proxy for potential electorate size. This is NOT a count of eligible or registered electors: it excludes citizenship and residency requirements, reflects 2021 conditions, and is subject to Statistics Canada random rounding.",2026-08-12T14:55:43+00:00,Directly from the 2021 Census Profile for that dissemination area.
59150076,2021S051259150076,0.3286,59,536.0,207.0,200.0,1631.2,0.33,535.0,100.0,340.0,30.0,25.0,25.0,35.0,30.0,55.0,40.0,40.0,30.0,30.0,95.0,30.0,25.0,10.0,10.0,10.0,40.7,41.6,200.0,95.0,0.0,0.0,105.0,5.0,0.0,0.0,0.0,50.0,2.7,535.0,450.0,125.0,325.0,85.0,12.0,418.0,population_2021 - age_0_14 - (3/5 * age_15_19),95.0,30.0,10.0,97.0,125.0,100.0,1624.2424242424242,1266.6666666666665,287.8787878787879,606.060606060606,110.0,0.55,0.025,0.0,0.0,0.475,0.25,325.0,984.8484848484848,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",https://www12.statcan.gc.ca/census-recensement/2021/dp-pd/prof/details/download-telecharger.cfm,Statistics Canada 2021 DA cartographic boundary file (92-169-X),Statistics Canada Open Licence,"Population aged 18 and over from the 2021 Census of Population, used as a demographic proxy for potential electorate size. This is NOT a count of eligible or registered electors: it excludes citizenship and residency requirements, reflects 2021 conditions, and is subject to Statistics Canada random rounding.",2026-08-12T14:55:43+00:00,Directly from the 2021 Census Profile for that dissemination area.
59150077,2021S051259150077,0.1138,59,456.0,165.0,149.0,4007.0,0.11,455.0,95.0,300.0,30.0,20.0,15.0,30.0,35.0,40.0,25.0,20.0,40.0,30.0,65.0,10.0,15.0,15.0,10.0,10.0,39.9,40.4,145.0,95.0,0.0,0.0,50.0,5.0,0.0,0.0,0.0,25.0,3.0,395.0,355.0,85.0,270.0,40.0,12.0,343.0,population_2021 - age_0_14 - (3/5 * age_15_19),65.0,35.0,10.0,77.0,100.0,90.0,4145.454545454545,3118.181818181818,590.9090909090909,1354.5454545454545,55.0,0.3793103448275862,0.034482758620689655,0.0,0.0,0.6551724137931034,0.1724137931034483,270.0,2454.5454545454545,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",https://www12.statcan.gc.ca/census-recensement/2021/dp-pd/prof/details/download-telecharger.cfm,Statistics Canada 2021 DA cartographic boundary file (92-169-X),Statistics Canada Open Licence,"Population aged 18 and over from the 2021 Census of Population, used as a demographic proxy for potential electorate size. This is NOT a count of eligible or registered electors: it excludes citizenship and residency requirements, reflects 2021 conditions, and is subject to Statistics Canada random rounding.",2026-08-12T14:55:43+00:00,Directly from the 2021 Census Profile for that dissemination area.
59150078,2021S051259150078,0.4834,59,721.0,254.0,239.0,1491.5,0.48,725.0,130.0,505.0,55.0,35.0,35.0,35.0,60.0,50.0,60.0,70.0,45.0,55.0,90.0,30.0,30.0,20.0,5.0,10.0,39.4,41.2,240.0,65.0,40.0,30.0,60.0,45.0,0.0,0.0,0.0,40.0,3.0,675.0,595.0,135.0,465.0,80.0,22.0,558.0,population_2021 - age_0_14 - (3/5 * age_15_19),90.0,35.0,10.0,127.0,170.0,170.0,1502.0833333333335,1162.5,187.5,497.9166666666667,135.0,0.5625,0.1875,0.0,0.125,0.2708333333333333,0.16666666666666666,465.0,968.75,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",https://www12.statcan.gc.ca/census-recensement/2021/dp-pd/prof/details/download-telecharger.cfm,Statistics Canada 2021 DA cartographic boundary file (92-169-X),Statistics Canada Open Licence,"Population aged 18 and over from the 2021 Census of Population, used as a demographic proxy for potential electorate size. This is NOT a count of eligible or registered electors: it excludes citizenship and residency requirements, reflects 2021 conditions, and is subject to Statistics Canada random rounding.",2026-08-12T14:55:43+00:00,Directly from the 2021 Census Profile for that dissemination area.
59150079,2021S051259150079,0.1037,59,517.0,217.0,206.0,4985.5,0.1,515.0,55.0,375.0,40.0,30.0,35.0,25.0,25.0,20.0,40.0,50.0,60.0,60.0,85.0,30.0,30.0,15.0,5.0,10.0,44.5,49.2,205.0,65.0,20.0,25.0,35.0,65.0,5.0,0.0,0.0,50.0,2.5,490.0,420.0,65.0,350.0,70.0,16.0,438.0,population_2021 - age_0_14 - (3/5 * age_15_19),85.0,30.0,10.0,106.0,85.0,170.0,5170.0,4380.0,850.0,2060.0,130.0,0.6341463414634146,0.34146341463414637,0.024390243902439025,0.12195121951219512,0.3170731707317073,0.24390243902439024,350.0,3500.0,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",https://www12.statcan.gc.ca/census-recensement/2021/dp-pd/prof/details/download-telecharger.cfm,Statistics Canada 2021 DA cartographic boundary file (92-169-X),Statistics Canada Open Licence,"Population aged 18 and over from the 2021 Census of Population, used as a demographic proxy for potential electorate size. This is NOT a count of eligible or registered electors: it excludes citizenship and residency requirements, reflects 2021 conditions, and is subject to Statistics Canada random rounding.",2026-08-12T14:55:43+00:00,Directly from the 2021 Census Profile for that dissemination area.
59150080,2021S051259150080,0.0727,59,344.0,142.0,134.0,4731.8,0.07,340.0,40.0,265.0,20.0,20.0,20.0,35.0,25.0,20.0,25.0,30.0,30.0,35.0,35.0,15.0,10.0,5.0,5.0,0.0,41.4,41.2,135.0,25.0,35.0,0.0,10.0,60.0,0.0,0.0,0.0,25.0,2.6,300.0,265.0,55.0,210.0,40.0,8.0,292.0,population_2021 - age_0_14 - (3/5 * age_15_19),35.0,10.0,0.0,83.0,70.0,95.0,4914.285714285714,4171.428571428571,499.99999999999994,1914.285714285714,70.0,0.5185185185185185,0.4444444444444444,0.0,0.0,0.18518518518518517,0.18518518518518517,210.0,2999.9999999999995,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",https://www12.statcan.gc.ca/census-recensement/2021/dp-pd/prof/details/download-telecharger.cfm,Statistics Canada 2021 DA cartographic boundary file (92-169-X),Statistics Canada Open Licence,"Population aged 18 and over from the 2021 Census of Population, used as a demographic proxy for potential electorate size. This is NOT a count of eligible or registered electors: it excludes citizenship and residency requirements, reflects 2021 conditions, and is subject to Statistics Canada random rounding.",2026-08-12T14:55:43+00:00,Directly from the 2021 Census Profile for that dissemination area.
59150081,2021S051259150081,0.1473,59,697.0,297.0,283.0,4731.8,0.15,700.0,100.0,495.0,45.0,40.0,45.0,55.0,50.0,50.0,65.0,50.0,55.0,45.0,100.0,25.0,25.0,25.0,15.0,10.0,41.0,42.0,285.0,25.0,50.0,10.0,30.0,165.0,0.0,0.0,0.0,85.0,2.5,655.0,550.0,115.0,430.0,105.0,18.0,570.0,population_2021 - age_0_14 - (3/5 * age_15_19),100.0,50.0,10.0,158.0,165.0,150.0,4646.666666666667,3800.0,666.6666666666667,1886.6666666666667,205.0,0.7192982456140351,0.5789473684210527,0.0,0.03508771929824561,0.08771929824561403,0.2982456140350877,430.0,2866.666666666667,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",https://www12.statcan.gc.ca/census-recensement/2021/dp-pd/prof/details/download-telecharger.cfm,Statistics Canada 2021 DA cartographic boundary file (92-169-X),Statistics Canada Open Licence,"Population aged 18 and over from the 2021 Census of Population, used as a demographic proxy for potential electorate size. This is NOT a count of eligible or registered electors: it excludes citizenship and residency requirements, reflects 2021 conditions, and is subject to Statistics Canada random rounding.",2026-08-12T14:55:43+00:00,Directly from the 2021 Census Profile for that dissemination area.
59150082,2021S051259150082,0.0519,59,709.0,345.0,335.0,13660.9,0.05,705.0,115.0,450.0,20.0,15.0,30.0,45.0,65.0,70.0,35.0,45.0,65.0,55.0,145.0,45.0,35.0,30.0,20.0,15.0,44.4,44.0,335.0,0.0,0.0,180.0,0.0,105.0,50.0,0.0,0.0,130.0,2.1,685.0,640.0,130.0,515.0,40.0,8.0,582.0,population_2021 - age_0_14 - (3/5 * age_15_19),145.0,65.0,15.0,98.0,170.0,165.0,14180.0,11640.0,2900.0,6700.0,335.0,1.0,0.4626865671641791,0.14925373134328357,0.5373134328358209,0.0,0.3880597014925373,515.0,10300.0,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",https://www12.statcan.gc.ca/census-recensement/2021/dp-pd/prof/details/download-telecharger.cfm,Statistics Canada 2021 DA cartographic boundary file (92-169-X),Statistics Canada Open Licence,"Population aged 18 and over from the 2021 Census of Population, used as a demographic proxy for potential electorate size. This is NOT a count of eligible or registered electors: it excludes citizenship and residency requirements, reflects 2021 conditions, and is subject to Statistics Canada random rounding.",2026-08-12T14:55:43+00:00,Directly from the 2021 Census Profile for that dissemination area.
