source_id,organization,dataset,url,download_url,format,geographic_level,coverage,version,license,download_date,local_path,status,sha256,bytes,feature_count,notes
bc_cnv_boundary,Province of BC - GeoBC / BC Data Catalogue,Municipalities - Legally Defined Administrative Areas of BC (ABMS),https://catalogue.data.gov.bc.ca/dataset/municipalities-legally-defined-administrative-areas-of-bc,https://catalogue.data.gov.bc.ca/dataset/municipalities-legally-defined-administrative-areas-of-bc,GeoJSON,municipality,City of North Vancouver,,Open Government Licence - British Columbia,2026-08-12T07:06:21+00:00,data/raw/bcdata/cnv_municipal_boundary_abms.geojson,cached,948cb6c8032227e3bfb67783748fb148dacb59d1f9656f5e813ee66679f96641,3031,1,Authoritative legal municipal boundary. LGL_ADMIN_AREA_ID=114. The District of North Vancouver is a separate feature (ID=125) and is deliberately excluded.
bc_northshore_municipalities,Province of BC - GeoBC,ABMS Municipalities - North Shore context,https://catalogue.data.gov.bc.ca/dataset/municipalities-legally-defined-administrative-areas-of-bc,https://catalogue.data.gov.bc.ca/dataset/municipalities-legally-defined-administrative-areas-of-bc,GeoJSON,municipality,North Shore municipalities,,Open Government Licence - British Columbia,2026-08-12T07:07:25+00:00,data/raw/bcdata/northshore_municipalities_abms.geojson,cached,4a3faabebafbd14e6fd77a7d932af7621508eed13cafbd8e9a84fa33bbf09a1c,146435,3,"Context layer only, used to verify CNV/DNV separation. Never used as the study area."
statcan_da_boundaries_2021,Statistics Canada,2021 Census - Dissemination Areas cartographic boundary file (92-169-X),https://www150.statcan.gc.ca/n1/en/catalogue/92-169-X2021001,https://www12.statcan.gc.ca/census-recensement/2021/geo/sip-pis/boundary-limites/files-fichiers/lda_000b21a_e.zip,Shapefile (zip),dissemination_area,Canada,"2021 Census, cartographic boundary",Statistics Canada Open Licence,2026-08-12T07:08:37+00:00,data/raw/statcan/lda_000b21a_e.zip,cached,cb8e00a1165d8f309a62884860112944ea5acc177bb926d966b4a51fbd0c9ecb,197042003,,Primary DA geometry. Join key DAUID. Native CRS EPSG:3347 (Lambert).
statcan_db_boundaries_2021,Statistics Canada,2021 Census - Dissemination Blocks cartographic boundary file (92-163-X),https://www150.statcan.gc.ca/n1/en/catalogue/92-163-X2021001,https://www12.statcan.gc.ca/census-recensement/2021/geo/sip-pis/boundary-limites/files-fichiers/ldb_000b21a_e.zip,Shapefile (zip),dissemination_block,Canada,,Statistics Canada Open Licence,2026-08-12T07:10:34+00:00,data/raw/statcan/ldb_000b21a_e.zip,cached,1ed137476d6c071472177e4c47e9a45020a28b3f580d6c60dabd2341b083f14c,317391964,,Finer geography for population/dwelling counts only (DB profiles are suppressed for most variables).
statcan_csd_boundaries_2021,Statistics Canada,2021 Census - Census Subdivisions cartographic boundary file,https://www12.statcan.gc.ca/census-recensement/2021/geo/sip-pis/boundary-limites/index2021-eng.cfm,https://www12.statcan.gc.ca/census-recensement/2021/geo/sip-pis/boundary-limites/files-fichiers/lcsd000b21a_e.zip,Shapefile (zip),census_subdivision,Canada,,Statistics Canada Open Licence,2026-08-12T07:11:34+00:00,data/raw/statcan/lcsd000b21a_e.zip,cached,f98d955bff9a8151d002bb07c5fc50775b624d4f2f4052dbe05fe54d58f3bbe8,155981521,,Used to confirm the CNV CSD (CSDUID 5915051) and validate DA membership.
statcan_census_profile_bc_da,Statistics Canada,"Census Profile, 2021 - British Columbia, dissemination areas (98-401-X2021006)",https://www12.statcan.gc.ca/census-recensement/2021/dp-pd/prof/details/download-telecharger.cfm,https://www12.statcan.gc.ca/census-recensement/2021/dp-pd/prof/details/download-telecharger/comp/GetFile.cfm?Lang=E&FILETYPE=CSV&GEONO=006_BC_CB,CSV (zip),dissemination_area,British Columbia,"98-401-X2021006, released 2022-12-15",Statistics Canada Open Licence,2026-08-12T07:13:27+00:00,data/raw/statcan/98-401-X2021006_BC_CB_eng_CSV.zip,cached,067f53dfefece572dc9c83d24d90226cc7b7e217b90c4f724a21ffd90457f36f,307048228,,"PRIMARY source for population, age and dwelling variables. This is the British-Columbia-only comprehensive Census Profile at DA level, preferred over the 2.2 GB national file. Confirmed via Content-Disposition header."
statcan_census_profile_bc_csd,Statistics Canada,"Census Profile, 2021 - British Columbia, census subdivisions (98-401-X2021006)",https://www12.statcan.gc.ca/census-recensement/2021/dp-pd/prof/details/download-telecharger.cfm,https://www12.statcan.gc.ca/census-recensement/2021/dp-pd/prof/details/download-telecharger/comp/GetFile.cfm?Lang=E&FILETYPE=CSV&GEONO=025,CSV (zip),census_subdivision,British Columbia,,Statistics Canada Open Licence,2026-08-12T07:13:37+00:00,data/raw/statcan/98-401-X2021006_BC_CSD_eng_CSV.zip,cached,0f7e54dc325bafbcd5c6c0f30faae00833c102b1eb051490112e4ea8bf38f705,26176494,,CSD-level totals used to validate that DA sums reconcile to the CNV municipal total.
cnv_neighbourhoods,City of North Vancouver,Neighbourhoods,https://gisext2.cnv.org/arcgis/rest/services/BaseMapServices/query_layers/MapServer/8,https://gisext2.cnv.org/arcgis/rest/services/BaseMapServices/query_layers/MapServer/8,GeoJSON,neighbourhood,City of North Vancouver,,City of North Vancouver open data terms - verify,2026-08-12T07:06:37+00:00,data/raw/cnv/cnv_neighbourhoods.geojson,cached,db6077adac1d83cf559d153d5b9a5dac420e7aeb66642d052e0cf92aa706774b,10300,10,Vector replacement for the CNV_Neighbourhoods PDF map. 10 neighbourhoods.
cnv_named_areas,City of North Vancouver,Named Areas,https://gisext2.cnv.org/arcgis/rest/services/BaseMapServices/query_layers/MapServer/0,https://gisext2.cnv.org/arcgis/rest/services/BaseMapServices/query_layers/MapServer/0,GeoJSON,named_area,City of North Vancouver,,,2026-08-12T07:13:37+00:00,data/raw/cnv/cnv_named_areas.geojson,cached,d23047d084f248daba330ff35a99b8d7a763177cc672bd264e1ee79b3bafb587,283219,105,
cnv_street_centreline,City of North Vancouver,Street Centre Line,https://gisext2.cnv.org/arcgis/rest/services/BaseMapServices/query_layers/MapServer/7,https://gisext2.cnv.org/arcgis/rest/services/BaseMapServices/query_layers/MapServer/7,GeoJSON,street_segment,City of North Vancouver,,,2026-08-12T07:06:37+00:00,data/raw/cnv/cnv_street_centreline.geojson,cached,f74f579fc3dc2e2140583d7212c06e7abe0b35db5d4bcf970d8b693750b88158,755330,962,"Carries ROADCLASS, ROADLEVEL, NOLANES, ONEWAY, OWNER and address ranges. Basis for the intersection layer."
