icbc_location,crash_count,reason
DOLLARTON HWY & DOLLARTON HWY OFFRAMP & DOLLARTON HWY ONRAMP & IRONWORKERS MEMORIAL BRIDGE & MAIN ST & MAIN ST OFFRAMP & MAIN ST ONRAMP & PHIBBS EXCHANGE & TRANS-CANADA HWY & EMERGENCY LANE & HIGHWAY RAMP & TURNING LANE,1043,fewer than 2 of the named streets are CNV streets
MOSQUITO CREEK BRIDGE & TRANS-CANADA HWY & WESTVIEW DR & WESTVIEW DR OFFRAMP & WESTVIEW DR ONRAMP & TURNING LANE,618,fewer than 2 of the named streets are CNV streets
BOWSER AVE & CAPILANO RD & CAPILANO RD OFFRAMP & CAPILANO RD ONRAMP & KEITH RD & TRANS-CANADA HWY & TURNING LANE,586,fewer than 2 of the named streets are CNV streets
CAPILANO RD & MARINE DR & MATHIAS RD & TURNING LANE,477,fewer than 2 of the named streets are CNV streets
MOUNTAIN HWY & MOUNTAIN HWY OFFRAMP & MOUNTAIN HWY ONRAMP & TRANS-CANADA HWY & TRANS-CANADA HWY ONRAMP & TURNING LANE,419,fewer than 2 of the named streets are CNV streets
MAIN ST & MOUNTAIN HWY,242,fewer than 2 of the named streets are CNV streets
MARINE DR & PEMBERTON AVE,146,fewer than 2 of the named streets are CNV streets
MT SEYMOUR PKY & RIVERSIDE DR & TURNING LANE,139,fewer than 2 of the named streets are CNV streets
E KEITH RD & LILLOOET RD & LILLOOET RD OFFRAMP & MT SEYMOUR PKY & TURNING LANE,121,fewer than 2 of the named streets are CNV streets
HARBOUR AVE & MAIN ST,101,fewer than 2 of the named streets are CNV streets
LYNN AVE & MAIN ST,100,fewer than 2 of the named streets are CNV streets
LYNN VALLEY RD & MOUNTAIN HWY & TURNING LANE & UNNAMED LANE,97,fewer than 2 of the named streets are CNV streets
MT SEYMOUR PKY & SEYMOUR BLVD & TURNING LANE,95,fewer than 2 of the named streets are CNV streets
IRONWORKERS MEMORIAL BRIDGE,91,fewer than 2 street names parsed (mid-block record)
GARDEN AVE & MARINE DR,84,fewer than 2 of the named streets are CNV streets
MARINE DR & PHILIP AVE,70,fewer than 2 of the named streets are CNV streets
BRIDGMAN AVE & MARINE DR,65,fewer than 2 of the named streets are CNV streets
DOLLARTON HWY & RIVERSIDE DR,65,fewer than 2 of the named streets are CNV streets
LYNN VALLEY RD & WILLIAM AVE,65,CNV street names but no matching CNV intersection
BERKLEY RD & MT SEYMOUR PKY & TURNING LANE,62,fewer than 2 of the named streets are CNV streets
DELBROOK AVE & W QUEENS RD & WESTVIEW DR,61,fewer than 2 of the named streets are CNV streets
LLOYD AVE & MARINE DR,59,fewer than 2 of the named streets are CNV streets
MARINE DR & TATLOW AVE,55,fewer than 2 of the named streets are CNV streets
AMHERST AVE & DOLLARTON HWY & OLD DOLLARTON RD,52,fewer than 2 of the named streets are CNV streets
ARBORLYNN DR & MOUNTAIN HWY,51,fewer than 2 of the named streets are CNV streets
LYTTON ST & MT SEYMOUR PKY,50,fewer than 2 of the named streets are CNV streets
E 29TH ST & LONSDALE AVE & W 29TH ST,49,CNV street names but no matching CNV intersection
LONSDALE AVE & W QUEENS RD & UNNAMED LANE,46,fewer than 2 of the named streets are CNV streets
CAPILANO RD & CURLING RD,45,fewer than 2 of the named streets are CNV streets
CAPILANO RD & FULLERTON AVE,42,fewer than 2 of the named streets are CNV streets
E 20TH ST & KIRKSTONE RD & MOUNTAIN HWY,42,fewer than 2 of the named streets are CNV streets
MT SEYMOUR PKY & MT SEYMOUR RD & ROCHE POINT DR,40,fewer than 2 of the named streets are CNV streets
PEMBERTON AVE & WELCH ST,40,fewer than 2 of the named streets are CNV streets
CAPILANO CRES & CAPILANO RD & RIDGEWOOD DR,37,fewer than 2 of the named streets are CNV streets
E 27TH ST & FROMME RD & LYNN VALLEY RD,36,CNV street names but no matching CNV intersection
E 29TH ST & LYNN VALLEY RD & VALLEY CENTRE AVE,33,fewer than 2 of the named streets are CNV streets
BOWSER AVE & MARINE DR,32,fewer than 2 of the named streets are CNV streets
MACGOWAN AVE & MARINE DR,32,fewer than 2 of the named streets are CNV streets
PEMBERTON AVE & W 1ST ST,32,fewer than 2 of the named streets are CNV streets
LILLOOET RD & PURCELL WAY,30,fewer than 2 of the named streets are CNV streets
E KEITH RD & HENDRY AVE,29,CNV street names but no matching CNV intersection
EDGEMONT BLVD & HIGHLAND BLVD,29,fewer than 2 of the named streets are CNV streets
E KEITH RD & LYNNMOUTH AVE,28,fewer than 2 of the named streets are CNV streets
LILLOOET RD & OLD LILLOOET RD & TURNING LANE,28,fewer than 2 of the named streets are CNV streets
APEX AVE & MT SEYMOUR PKY,27,fewer than 2 of the named streets are CNV streets
CAPILANO RD & GARDEN AVE,27,fewer than 2 of the named streets are CNV streets
MARINE DR & MCGUIRE AVE,26,fewer than 2 of the named streets are CNV streets
CAPILANO RD & EDGEMONT BLVD,24,fewer than 2 of the named streets are CNV streets
DOLLARTON HWY & RAVEN WOODS DR,24,fewer than 2 of the named streets are CNV streets
E KEITH RD & GRAND BLVD E,24,fewer than 2 of the named streets are CNV streets
DEEP COVE RD & MT SEYMOUR PKY & N DOLLARTON HWY,23,fewer than 2 of the named streets are CNV streets
KIRKSTONE RD & LYNN VALLEY RD,23,fewer than 2 of the named streets are CNV streets
VICTORY SHIP WAY # 000112 TO 000155,22,fewer than 2 street names parsed (mid-block record)
E 29TH ST & FROMME RD,21,fewer than 2 of the named streets are CNV streets
MARINE DR # 001960 TO 001998 even,21,fewer than 2 street names parsed (mid-block record)
PHILIP AVE & W 1ST ST & ACCESS ROAD,21,fewer than 2 of the named streets are CNV streets
BARROW ST & MOUNTAIN HWY,20,fewer than 2 of the named streets are CNV streets
EMERSON WAY & MT SEYMOUR PKY,20,fewer than 2 of the named streets are CNV streets
LYNN VALLEY RD & MORGAN RD,20,fewer than 2 of the named streets are CNV streets
MT SEYMOUR PKY & PARKGATE AVE,20,fewer than 2 of the named streets are CNV streets
CAPILANO RD & W 21ST ST,19,fewer than 2 of the named streets are CNV streets
CROWN ST & MOUNTAIN HWY,19,fewer than 2 of the named streets are CNV streets
CAPILANO RD & ELDON RD,18,fewer than 2 of the named streets are CNV streets
EDGEMONT BLVD # 003100 TO 003150,18,fewer than 2 street names parsed (mid-block record)
PEMBERTON AVE & W 15TH ST,18,fewer than 2 of the named streets are CNV streets
CAPILANO RD & PAISLEY RD,17,fewer than 2 of the named streets are CNV streets
E 13TH ST & GRAND BLVD E,17,fewer than 2 of the named streets are CNV streets
E 27TH ST & MOUNTAIN HWY,17,fewer than 2 of the named streets are CNV streets
E KEITH RD & LILLOOET RD OFFRAMP & MOUNTAIN HWY ONRAMP & TRANS-CANADA HWY & TRANS-CANADA HWY ONRAMP,17,fewer than 2 of the named streets are CNV streets
EDGEMONT BLVD & RIDGEWOOD DR,17,fewer than 2 of the named streets are CNV streets
EDGEMONT BLVD & W QUEENS RD,17,fewer than 2 of the named streets are CNV streets
MOUNTAIN HWY & ROSS RD,17,fewer than 2 of the named streets are CNV streets
DEMPSEY RD & MOUNTAIN HWY,16,fewer than 2 of the named streets are CNV streets
E 17TH ST & GRAND BLVD E,16,fewer than 2 of the named streets are CNV streets
BROADVIEW DR & MT SEYMOUR PKY,15,fewer than 2 of the named streets are CNV streets
CAPILANO RD & WOODS DR & UNNAMED LANE,15,fewer than 2 of the named streets are CNV streets
E 24TH ST & EMERY PL & MOUNTAIN HWY,15,fewer than 2 of the named streets are CNV streets
E WINDSOR RD & LONSDALE AVE & W WINDSOR RD & ACCESS ROAD,15,fewer than 2 of the named streets are CNV streets
GALLANT AVE & PANORAMA DR,15,fewer than 2 of the named streets are CNV streets
LLOYD AVE & W 1ST ST,15,fewer than 2 of the named streets are CNV streets
MARINE DR # 001300 TO 001399,15,fewer than 2 street names parsed (mid-block record)
DOLLARTON HWY & ELLIS ST,14,fewer than 2 of the named streets are CNV streets
DOLLARTON HWY & FORESTER ST & TURNING LANE,14,fewer than 2 of the named streets are CNV streets
E 13TH ST # 000100 TO 000199,14,fewer than 2 street names parsed (mid-block record)
E OSBORNE RD & LONSDALE AVE & SANDRINGHAM CRES & W OSBORNE RD,14,fewer than 2 of the named streets are CNV streets
FREDERICK RD & MOUNTAIN HWY,14,fewer than 2 of the named streets are CNV streets
MARINE DR # 000901 TO 000969 odd,14,fewer than 2 street names parsed (mid-block record)
MCCARTNEY LANE & MT SEYMOUR PKY & TOLLCROSS RD,14,fewer than 2 of the named streets are CNV streets
MOUNTAIN HWY & OXFORD ST,14,fewer than 2 of the named streets are CNV streets
PEMBERTON AVE & W 16TH ST,14,fewer than 2 of the named streets are CNV streets
DEL RIO DR & W QUEENS RD & SERVICE ROAD,13,fewer than 2 of the named streets are CNV streets
E 29TH ST & REGENT AVE,13,fewer than 2 of the named streets are CNV streets
E KEITH RD & SUTHERLAND AVE,13,CNV street names but no matching CNV intersection
E KINGS RD & LONSDALE AVE & W KINGS RD,13,fewer than 2 of the named streets are CNV streets
GARDEN AVE & WELCH ST,13,fewer than 2 of the named streets are CNV streets
GLADWIN DR & LLOYD AVE & TRANS-CANADA HWY & TURNING LANE,13,fewer than 2 of the named streets are CNV streets
PANORAMA DR # 002396 TO 002901,13,fewer than 2 street names parsed (mid-block record)
W 15TH ST # 000120 TO 000175,13,fewer than 2 street names parsed (mid-block record)
W 2ND ST # 000120 TO 000199,13,fewer than 2 street names parsed (mid-block record)
W QUEENS RD & WOODBINE DR,13,fewer than 2 of the named streets are CNV streets
CARRIE CATES CRT # 000113 TO 000149,12,fewer than 2 street names parsed (mid-block record)
DOLLARTON HWY # 002000 TO 002198 even,12,fewer than 2 street names parsed (mid-block record)
E 14TH ST # 000121 TO 000199,12,fewer than 2 street names parsed (mid-block record)
E 15TH ST & GRAND BLVD E,12,fewer than 2 of the named streets are CNV streets
E 29TH ST & WILLIAM AVE,12,fewer than 2 of the named streets are CNV streets
LONSDALE AVE # 002000 TO 002099,12,fewer than 2 street names parsed (mid-block record)
MARINE DR # 000801 TO 000899 odd,12,fewer than 2 street names parsed (mid-block record)
MONTROYAL BLVD & RANGER AVE,12,fewer than 2 of the named streets are CNV streets
MOUNTAIN HWY & RUPERT ST,12,fewer than 2 of the named streets are CNV streets
MT SEYMOUR PKY & NORTHLANDS DR & TURNING LANE,12,fewer than 2 of the named streets are CNV streets
MT SEYMOUR PKY & STRATHAVEN DR,12,fewer than 2 of the named streets are CNV streets
3RD ST E & COTTON RD & LOW LEVEL RD,11,CNV street names but no matching CNV intersection
BERKLEY RD # 000900 TO 000999,11,fewer than 2 street names parsed (mid-block record)
