rank,intersection_id,street_names,neighbourhood,onstreet_supply_250m,onstreet_peak_occupancy_250m,offstreet_spaces_400m,pay_stations_250m,accessible_parking_250m,parking_access_score,metric,value,source,methodology_note
1,CNV-INT-0382,W 12TH ST / W 8TH ST,Central Lonsdale,735.0,0.609,653.0,3,12,90.67,parking_access_score,90.67,Derived; see DATA_SOURCES.md for each contributing layer,"Supply from City layers; occupancy from a City survey, NOT a real-time feed."
2,CNV-INT-0189,E 14TH ST / ST. GEORGES AVE,Central Lonsdale,702.0,0.632,1214.0,6,44,90.01,parking_access_score,90.01,Derived; see DATA_SOURCES.md for each contributing layer,"Supply from City layers; occupancy from a City survey, NOT a real-time feed."
3,CNV-INT-0376,CHESTERFIELD AVE / W 13TH ST,Central Lonsdale,699.0,0.61,653.0,1,10,89.06,parking_access_score,89.06,Derived; see DATA_SOURCES.md for each contributing layer,"Supply from City layers; occupancy from a City survey, NOT a real-time feed."
4,CNV-INT-0306,W 12TH ST / W 8TH ST,Central Lonsdale,707.0,0.624,661.0,3,14,89.02,parking_access_score,89.02,Derived; see DATA_SOURCES.md for each contributing layer,"Supply from City layers; occupancy from a City survey, NOT a real-time feed."
5,CNV-INT-0190,E 15TH ST / ST. GEORGES AVE,Central Lonsdale,689.0,0.646,1214.0,4,39,88.62,parking_access_score,88.62,Derived; see DATA_SOURCES.md for each contributing layer,"Supply from City layers; occupancy from a City survey, NOT a real-time feed."
6,CNV-INT-0385,E 15TH ST / LONSDALE AVE / W 15TH ST,Central Lonsdale,682.0,0.649,1140.0,10,26,88.23,parking_access_score,88.23,Derived; see DATA_SOURCES.md for each contributing layer,"Supply from City layers; occupancy from a City survey, NOT a real-time feed."
7,CNV-INT-0384,CIVIC PLACE MEWS / W 14TH ST,Central Lonsdale,739.0,0.66,671.0,5,13,88.04,parking_access_score,88.04,Derived; see DATA_SOURCES.md for each contributing layer,"Supply from City layers; occupancy from a City survey, NOT a real-time feed."
8,CNV-INT-0392,MAHON AVE / W 16TH ST,Central Lonsdale,799.0,0.622,73.0,0,0,87.24,parking_access_score,87.24,Derived; see DATA_SOURCES.md for each contributing layer,"Supply from City layers; occupancy from a City survey, NOT a real-time feed."
9,CNV-INT-0188,E 13TH ST / LONSDALE AVE / W 13TH ST,Central Lonsdale,674.0,0.659,1094.0,6,31,87.17,parking_access_score,87.17,Derived; see DATA_SOURCES.md for each contributing layer,"Supply from City layers; occupancy from a City survey, NOT a real-time feed."
10,CNV-INT-0391,MAHON AVE / W 15TH ST,Central Lonsdale,763.0,0.634,73.0,0,0,86.35,parking_access_score,86.35,Derived; see DATA_SOURCES.md for each contributing layer,"Supply from City layers; occupancy from a City survey, NOT a real-time feed."
