rank,year,place_name,address,place_type,lat,lon,inside_cnv_boundary,mayoral_votes_2022,mayoral_votes_note,source,coordinate_source,polling_boundary_status,polling_boundary_note,prepared_utc,metric,value,methodology_note
1,2022,Ridgeway Elementary School,420 East 8th St,General,49.3152172,-123.0613468,True,1117.0,"Sum of mayoral votes cast at this place in 2022. CNV did not publish a 'total voters' row for 2022, so this is a lower bound on ballots cast at the place, not a ballot count.",https://www.cnv.org/City-Hall/News-Room/Whats-New/2022/9/26/Get-Out-and-Vote-in-the-2022-Local-Election,"CNV election GeoRSS feed (https://gisext2.cnv.org/election/), used for coordinates only. The feed's 2022 file contains stale 2018 place/date content, so place lists come from the official 2022 news release and results PDF instead.",NOT_AVAILABLE,"CNV operates 'any voting place' elections: an elector may vote at any location in the city, so there are no polling-division catchments. No polling-division polygon dataset exists in any format. See DATA_GAPS.md.",2026-08-12T14:55:45+00:00,mayoral_votes_2022,1117.0,"Ranked by mayoral votes recorded at each voting place in 2022, a lower bound on ballots cast there. CNV published no per-place ballot total for 2022. Voting places are service points, NOT catchments: electors may vote at any location in the city."
2,2022,Queen Mary Elementary School,230 West Keith Rd,General,49.3194466,-123.0781481,True,1021.0,"Sum of mayoral votes cast at this place in 2022. CNV did not publish a 'total voters' row for 2022, so this is a lower bound on ballots cast at the place, not a ballot count.",https://www.cnv.org/City-Hall/News-Room/Whats-New/2022/9/26/Get-Out-and-Vote-in-the-2022-Local-Election,"CNV election GeoRSS feed (https://gisext2.cnv.org/election/), used for coordinates only. The feed's 2022 file contains stale 2018 place/date content, so place lists come from the official 2022 news release and results PDF instead.",NOT_AVAILABLE,"CNV operates 'any voting place' elections: an elector may vote at any location in the city, so there are no polling-division catchments. No polling-division polygon dataset exists in any format. See DATA_GAPS.md.",2026-08-12T14:55:45+00:00,mayoral_votes_2022,1021.0,"Ranked by mayoral votes recorded at each voting place in 2022, a lower bound on ballots cast there. CNV published no per-place ballot total for 2022. Voting places are service points, NOT catchments: electors may vote at any location in the city."
3,2022,The Pipe Shop,115 Victory Ship Way,General,49.310256,-123.07955,True,946.0,"Sum of mayoral votes cast at this place in 2022. CNV did not publish a 'total voters' row for 2022, so this is a lower bound on ballots cast at the place, not a ballot count.",https://www.cnv.org/City-Hall/News-Room/Whats-New/2022/9/26/Get-Out-and-Vote-in-the-2022-Local-Election,"CNV election GeoRSS feed (https://gisext2.cnv.org/election/), used for coordinates only. The feed's 2022 file contains stale 2018 place/date content, so place lists come from the official 2022 news release and results PDF instead.",NOT_AVAILABLE,"CNV operates 'any voting place' elections: an elector may vote at any location in the city, so there are no polling-division catchments. No polling-division polygon dataset exists in any format. See DATA_GAPS.md.",2026-08-12T14:55:45+00:00,mayoral_votes_2022,946.0,"Ranked by mayoral votes recorded at each voting place in 2022, a lower bound on ballots cast there. CNV published no per-place ballot total for 2022. Voting places are service points, NOT catchments: electors may vote at any location in the city."
4,2022,North Shore Neighbourhood House,225 East 2nd St,General,49.3108177,-123.0743436,True,742.0,"Sum of mayoral votes cast at this place in 2022. CNV did not publish a 'total voters' row for 2022, so this is a lower bound on ballots cast at the place, not a ballot count.",https://www.cnv.org/City-Hall/News-Room/Whats-New/2022/9/26/Get-Out-and-Vote-in-the-2022-Local-Election,"CNV election GeoRSS feed (https://gisext2.cnv.org/election/), used for coordinates only. The feed's 2022 file contains stale 2018 place/date content, so place lists come from the official 2022 news release and results PDF instead.",NOT_AVAILABLE,"CNV operates 'any voting place' elections: an elector may vote at any location in the city, so there are no polling-division catchments. No polling-division polygon dataset exists in any format. See DATA_GAPS.md.",2026-08-12T14:55:45+00:00,mayoral_votes_2022,742.0,"Ranked by mayoral votes recorded at each voting place in 2022, a lower bound on ballots cast there. CNV published no per-place ballot total for 2022. Voting places are service points, NOT catchments: electors may vote at any location in the city."
5,2022,Sutherland Secondary School,1860 Sutherland Ave,General,49.326,-123.05295,True,725.0,"Sum of mayoral votes cast at this place in 2022. CNV did not publish a 'total voters' row for 2022, so this is a lower bound on ballots cast at the place, not a ballot count.",https://www.cnv.org/City-Hall/News-Room/Whats-New/2022/9/26/Get-Out-and-Vote-in-the-2022-Local-Election,"CNV election GeoRSS feed (https://gisext2.cnv.org/election/), used for coordinates only. The feed's 2022 file contains stale 2018 place/date content, so place lists come from the official 2022 news release and results PDF instead.",NOT_AVAILABLE,"CNV operates 'any voting place' elections: an elector may vote at any location in the city, so there are no polling-division catchments. No polling-division polygon dataset exists in any format. See DATA_GAPS.md.",2026-08-12T14:55:45+00:00,mayoral_votes_2022,725.0,"Ranked by mayoral votes recorded at each voting place in 2022, a lower bound on ballots cast there. CNV published no per-place ballot total for 2022. Voting places are service points, NOT catchments: electors may vote at any location in the city."
6,2022,Carson Graham Secondary School,2145 Jones Ave,General,49.3289347,-123.0819935,True,703.0,"Sum of mayoral votes cast at this place in 2022. CNV did not publish a 'total voters' row for 2022, so this is a lower bound on ballots cast at the place, not a ballot count.",https://www.cnv.org/City-Hall/News-Room/Whats-New/2022/9/26/Get-Out-and-Vote-in-the-2022-Local-Election,"CNV election GeoRSS feed (https://gisext2.cnv.org/election/), used for coordinates only. The feed's 2022 file contains stale 2018 place/date content, so place lists come from the official 2022 news release and results PDF instead.",NOT_AVAILABLE,"CNV operates 'any voting place' elections: an elector may vote at any location in the city, so there are no polling-division catchments. No polling-division polygon dataset exists in any format. See DATA_GAPS.md.",2026-08-12T14:55:45+00:00,mayoral_votes_2022,703.0,"Ranked by mayoral votes recorded at each voting place in 2022, a lower bound on ballots cast there. CNV published no per-place ballot total for 2022. Voting places are service points, NOT catchments: electors may vote at any location in the city."
7,2022,Memorial Recreation Centre,125 East 23rd St,General,49.3298602,-123.0694833,True,594.0,"Sum of mayoral votes cast at this place in 2022. CNV did not publish a 'total voters' row for 2022, so this is a lower bound on ballots cast at the place, not a ballot count.",https://www.cnv.org/City-Hall/News-Room/Whats-New/2022/9/26/Get-Out-and-Vote-in-the-2022-Local-Election,"CNV election GeoRSS feed (https://gisext2.cnv.org/election/), used for coordinates only. The feed's 2022 file contains stale 2018 place/date content, so place lists come from the official 2022 news release and results PDF instead.",NOT_AVAILABLE,"CNV operates 'any voting place' elections: an elector may vote at any location in the city, so there are no polling-division catchments. No polling-division polygon dataset exists in any format. See DATA_GAPS.md.",2026-08-12T14:55:45+00:00,mayoral_votes_2022,594.0,"Ranked by mayoral votes recorded at each voting place in 2022, a lower bound on ballots cast there. CNV published no per-place ballot total for 2022. Voting places are service points, NOT catchments: electors may vote at any location in the city."
8,2022,Westview Elementary School,641 West 17th St,General,49.323816,-123.089478,True,479.0,"Sum of mayoral votes cast at this place in 2022. CNV did not publish a 'total voters' row for 2022, so this is a lower bound on ballots cast at the place, not a ballot count.",https://www.cnv.org/City-Hall/News-Room/Whats-New/2022/9/26/Get-Out-and-Vote-in-the-2022-Local-Election,"CNV election GeoRSS feed (https://gisext2.cnv.org/election/), used for coordinates only. The feed's 2022 file contains stale 2018 place/date content, so place lists come from the official 2022 news release and results PDF instead.",NOT_AVAILABLE,"CNV operates 'any voting place' elections: an elector may vote at any location in the city, so there are no polling-division catchments. No polling-division polygon dataset exists in any format. See DATA_GAPS.md.",2026-08-12T14:55:45+00:00,mayoral_votes_2022,479.0,"Ranked by mayoral votes recorded at each voting place in 2022, a lower bound on ballots cast there. CNV published no per-place ballot total for 2022. Voting places are service points, NOT catchments: electors may vote at any location in the city."
9,2022,Larson Elementary School,2605 Larson Rd,General,49.333373,-123.085181,True,376.0,"Sum of mayoral votes cast at this place in 2022. CNV did not publish a 'total voters' row for 2022, so this is a lower bound on ballots cast at the place, not a ballot count.",https://www.cnv.org/City-Hall/News-Room/Whats-New/2022/9/26/Get-Out-and-Vote-in-the-2022-Local-Election,"CNV election GeoRSS feed (https://gisext2.cnv.org/election/), used for coordinates only. The feed's 2022 file contains stale 2018 place/date content, so place lists come from the official 2022 news release and results PDF instead.",NOT_AVAILABLE,"CNV operates 'any voting place' elections: an elector may vote at any location in the city, so there are no polling-division catchments. No polling-division polygon dataset exists in any format. See DATA_GAPS.md.",2026-08-12T14:55:45+00:00,mayoral_votes_2022,376.0,"Ranked by mayoral votes recorded at each voting place in 2022, a lower bound on ballots cast there. CNV published no per-place ballot total for 2022. Voting places are service points, NOT catchments: electors may vote at any location in the city."
10,2022,North Vancouver City Hall (Conference Room A),141 West 14th St,Advance,49.320679,-123.073799,True,,"Sum of mayoral votes cast at this place in 2022. CNV did not publish a 'total voters' row for 2022, so this is a lower bound on ballots cast at the place, not a ballot count.",https://www.cnv.org/City-Hall/News-Room/Whats-New/2022/9/26/Get-Out-and-Vote-in-the-2022-Local-Election,"CNV election GeoRSS feed (https://gisext2.cnv.org/election/), used for coordinates only. The feed's 2022 file contains stale 2018 place/date content, so place lists come from the official 2022 news release and results PDF instead.",NOT_AVAILABLE,"CNV operates 'any voting place' elections: an elector may vote at any location in the city, so there are no polling-division catchments. No polling-division polygon dataset exists in any format. See DATA_GAPS.md.",2026-08-12T14:55:45+00:00,mayoral_votes_2022,,"Ranked by mayoral votes recorded at each voting place in 2022, a lower bound on ballots cast there. CNV published no per-place ballot total for 2022. Voting places are service points, NOT catchments: electors may vote at any location in the city."
