rank,intersection_id,street_names,neighbourhood,collision_count,collision_data_available,safety_score,metric,value,source,methodology_note
1,CNV-INT-0360,FELL AVE / MARINE DR,Marine-Hamilton,189.0,True,0.0,collision_count,189.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
2,CNV-INT-0423,HAMILTON AVE / MARINE DR / W 16TH ST,Marine-Hamilton,126.0,True,0.38,collision_count,126.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
3,CNV-INT-0385,E 15TH ST / LONSDALE AVE / W 15TH ST,Central Lonsdale,104.0,True,0.76,collision_count,104.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
4,CNV-INT-0273,E 3RD ST / LONSDALE AVE / W 3RD ST,Lower Lonsdale,102.0,True,1.15,collision_count,102.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
5,CNV-INT-0222,E 23RD ST / LONSDALE AVE / W 23RD ST,Central Lonsdale,96.0,True,1.53,collision_count,96.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
6,CNV-INT-0188,E 13TH ST / LONSDALE AVE / W 13TH ST,Central Lonsdale,85.0,True,1.91,collision_count,85.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
7,CNV-INT-0405,E 21ST ST / LONSDALE AVE / W 21ST ST,Central Lonsdale,76.0,True,2.29,collision_count,76.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
8,CNV-INT-0001,BROOKSBANK AVE / COTTON RD,Moodyville,74.0,True,2.86,collision_count,74.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
9,CNV-INT-0389,E 17TH ST / LONSDALE AVE / W 17TH ST,Central Lonsdale,74.0,True,2.86,collision_count,74.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
10,CNV-INT-0428,MACKAY AVE / MARINE DR,Marine-Hamilton,69.0,True,3.63,collision_count,69.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
11,CNV-INT-0331,FELL AVE / W 1ST ST / W 2ND ST,Marine-Hamilton,69.0,True,3.63,collision_count,69.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
12,CNV-INT-0290,CHESTERFIELD AVE / W 3RD ST,Lower Lonsdale,67.0,True,4.2,collision_count,67.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
13,CNV-INT-0212,E 20TH ST / LONSDALE AVE / W 20TH ST,Central Lonsdale,65.0,True,4.58,collision_count,65.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
