rank,intersection_id,street_names,neighbourhood,road_classes,road_class_weight,nearest_traffic_volume,traffic_volume_available,signalised,full_signal,road_hierarchy_score,metric,value,source,methodology_note
1,CNV-INT-0228,LONSDALE AVE / UPPER LEVELS HWY,Central Lonsdale,Major / freeway,1.0,,False,True,True,99.4,road_hierarchy_score,99.4,Derived; see DATA_SOURCES.md for each contributing layer,Road hierarchy only. Measured traffic volumes were removed from this score because they cover just 40 of 503 intersections; they are reported as the separate nearest_traffic_volume column. This is NOT a measured traffic ranking.
2,CNV-INT-0177,BOULEVARD CRES / LYNN VALLEY RD / UPPER LEVELS HWY,Tempe,Major / arterial / freeway,1.0,,False,False,True,99.4,road_hierarchy_score,99.4,Derived; see DATA_SOURCES.md for each contributing layer,Road hierarchy only. Measured traffic volumes were removed from this score because they cover just 40 of 503 intersections; they are reported as the separate nearest_traffic_volume column. This is NOT a measured traffic ranking.
3,CNV-INT-0227,UPPER LEVELS HWY / UPPER LEVELS RAMP,Grand Boulevard,freeway / ramp,1.0,,False,False,True,99.4,road_hierarchy_score,99.4,Derived; see DATA_SOURCES.md for each contributing layer,Road hierarchy only. Measured traffic volumes were removed from this score because they cover just 40 of 503 intersections; they are reported as the separate nearest_traffic_volume column. This is NOT a measured traffic ranking.
4,CNV-INT-0491,UPPER LEVELS HWY,Westview,freeway / ramp,1.0,,False,False,True,99.4,road_hierarchy_score,99.4,Derived; see DATA_SOURCES.md for each contributing layer,Road hierarchy only. Measured traffic volumes were removed from this score because they cover just 40 of 503 intersections; they are reported as the separate nearest_traffic_volume column. This is NOT a measured traffic ranking.
5,CNV-INT-0490,UPPER LEVELS HWY / WESTVIEW DR,Westview,Major / freeway,1.0,,False,True,True,99.4,road_hierarchy_score,99.4,Derived; see DATA_SOURCES.md for each contributing layer,Road hierarchy only. Measured traffic volumes were removed from this score because they cover just 40 of 503 intersections; they are reported as the separate nearest_traffic_volume column. This is NOT a measured traffic ranking.
6,CNV-INT-0144,UPPER LEVELS HWY / UPPER LEVELS RAMP,Grand Boulevard,freeway / ramp,1.0,,False,False,True,99.4,road_hierarchy_score,99.4,Derived; see DATA_SOURCES.md for each contributing layer,Road hierarchy only. Measured traffic volumes were removed from this score because they cover just 40 of 503 intersections; they are reported as the separate nearest_traffic_volume column. This is NOT a measured traffic ranking.
7,CNV-INT-0471,UPPER LEVELS HWY / UPPER LEVELS RAMP,Westview,freeway / ramp,1.0,,False,False,True,99.4,road_hierarchy_score,99.4,Derived; see DATA_SOURCES.md for each contributing layer,Road hierarchy only. Measured traffic volumes were removed from this score because they cover just 40 of 503 intersections; they are reported as the separate nearest_traffic_volume column. This is NOT a measured traffic ranking.
8,CNV-INT-0266,E ESPLANADE / LONSDALE AVE / W ESPLANADE,Lower Lonsdale,Major / collector,0.85,,False,True,True,87.48,road_hierarchy_score,87.48,Derived; see DATA_SOURCES.md for each contributing layer,Road hierarchy only. Measured traffic volumes were removed from this score because they cover just 40 of 503 intersections; they are reported as the separate nearest_traffic_volume column. This is NOT a measured traffic ranking.
9,CNV-INT-0270,E 1ST ST / LONSDALE AVE / W 1ST ST,Lower Lonsdale,Major / local,0.85,,False,True,True,87.48,road_hierarchy_score,87.48,Derived; see DATA_SOURCES.md for each contributing layer,Road hierarchy only. Measured traffic volumes were removed from this score because they cover just 40 of 503 intersections; they are reported as the separate nearest_traffic_volume column. This is NOT a measured traffic ranking.
10,CNV-INT-0271,ROGERS AVE / W ESPLANADE,Lower Lonsdale,Major / local,0.85,,False,True,True,87.48,road_hierarchy_score,87.48,Derived; see DATA_SOURCES.md for each contributing layer,Road hierarchy only. Measured traffic volumes were removed from this score because they cover just 40 of 503 intersections; they are reported as the separate nearest_traffic_volume column. This is NOT a measured traffic ranking.
11,CNV-INT-0272,E 2ND ST / LONSDALE AVE / W 2ND ST,Lower Lonsdale,Major / local,0.85,,False,True,True,87.48,road_hierarchy_score,87.48,Derived; see DATA_SOURCES.md for each contributing layer,Road hierarchy only. Measured traffic volumes were removed from this score because they cover just 40 of 503 intersections; they are reported as the separate nearest_traffic_volume column. This is NOT a measured traffic ranking.
12,CNV-INT-0273,E 3RD ST / LONSDALE AVE / W 3RD ST,Lower Lonsdale,Major / Minor,0.85,,False,True,True,87.48,road_hierarchy_score,87.48,Derived; see DATA_SOURCES.md for each contributing layer,Road hierarchy only. Measured traffic volumes were removed from this score because they cover just 40 of 503 intersections; they are reported as the separate nearest_traffic_volume column. This is NOT a measured traffic ranking.
13,CNV-INT-0277,CHESTERFIELD AVE / W ESPLANADE,Lower Lonsdale,Major / Minor / collector,0.85,,False,True,True,87.48,road_hierarchy_score,87.48,Derived; see DATA_SOURCES.md for each contributing layer,Road hierarchy only. Measured traffic volumes were removed from this score because they cover just 40 of 503 intersections; they are reported as the separate nearest_traffic_volume column. This is NOT a measured traffic ranking.
14,CNV-INT-0278,SEMISCH AVE / W ESPLANADE,Lower Lonsdale,Major / local,0.85,,False,True,True,87.48,road_hierarchy_score,87.48,Derived; see DATA_SOURCES.md for each contributing layer,Road hierarchy only. Measured traffic volumes were removed from this score because they cover just 40 of 503 intersections; they are reported as the separate nearest_traffic_volume column. This is NOT a measured traffic ranking.
15,CNV-INT-0281,E 4TH ST / LONSDALE AVE / W 4TH ST,Lower Lonsdale,Major / local,0.85,,False,True,True,87.48,road_hierarchy_score,87.48,Derived; see DATA_SOURCES.md for each contributing layer,Road hierarchy only. Measured traffic volumes were removed from this score because they cover just 40 of 503 intersections; they are reported as the separate nearest_traffic_volume column. This is NOT a measured traffic ranking.
16,CNV-INT-0282,E 5TH ST / LONSDALE AVE / W 5TH ST,Lower Lonsdale,Major / local,0.85,,False,False,True,87.48,road_hierarchy_score,87.48,Derived; see DATA_SOURCES.md for each contributing layer,Road hierarchy only. Measured traffic volumes were removed from this score because they cover just 40 of 503 intersections; they are reported as the separate nearest_traffic_volume column. This is NOT a measured traffic ranking.
17,CNV-INT-0285,MAHON AVE / W ESPLANADE,Lower Lonsdale,Major / local,0.85,,False,False,True,87.48,road_hierarchy_score,87.48,Derived; see DATA_SOURCES.md for each contributing layer,Road hierarchy only. Measured traffic volumes were removed from this score because they cover just 40 of 503 intersections; they are reported as the separate nearest_traffic_volume column. This is NOT a measured traffic ranking.
18,CNV-INT-0283,E 6TH ST / LONSDALE AVE / W 6TH ST,Lower Lonsdale,Major / local,0.85,,False,False,True,87.48,road_hierarchy_score,87.48,Derived; see DATA_SOURCES.md for each contributing layer,Road hierarchy only. Measured traffic volumes were removed from this score because they cover just 40 of 503 intersections; they are reported as the separate nearest_traffic_volume column. This is NOT a measured traffic ranking.
