rank,intersection_id,street_names,neighbourhood,transit_stops_100m,transit_stops_250m,transit_stops_400m,transit_departures_250m,transit_departures_am_peak_250m,transit_score,metric,value,source,methodology_note
1,CNV-INT-0271,ROGERS AVE / W ESPLANADE,Lower Lonsdale,1,18,29,1385.0,171.0,99.95,transit_score,99.95,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
2,CNV-INT-0268,CARRIE CATES CRT / LONSDALE AVE,Lower Lonsdale,0,16,22,1279.0,157.0,99.56,transit_score,99.56,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
3,CNV-INT-0276,CARRIE CATES CRT / CHESTERFIELD AVE / CHESTERFIELD PL,Lower Lonsdale,4,18,23,1194.0,142.0,98.81,transit_score,98.81,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
4,CNV-INT-0267,LONSDALE AVE / VICTORY SHIP WAY,Lower Lonsdale,0,13,24,1197.0,145.0,98.66,transit_score,98.66,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
5,CNV-INT-0274,CARRIE CATES CRT / ROGERS AVE,Lower Lonsdale,7,16,25,1178.0,146.0,98.65,transit_score,98.65,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
6,CNV-INT-0269,CARRIE CATES CRT / MUSEUM MUSE,Lower Lonsdale,0,15,23,1122.0,140.0,98.09,transit_score,98.09,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
7,CNV-INT-0384,CIVIC PLACE MEWS / W 14TH ST,Central Lonsdale,0,8,11,1178.0,166.0,97.83,transit_score,97.83,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
8,CNV-INT-0266,E ESPLANADE / LONSDALE AVE / W ESPLANADE,Lower Lonsdale,1,11,28,1103.0,136.0,97.6,transit_score,97.6,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
9,CNV-INT-0273,E 3RD ST / LONSDALE AVE / W 3RD ST,Lower Lonsdale,5,10,18,1109.0,133.0,97.57,transit_score,97.57,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
10,CNV-INT-0275,CHADWICK CRT / CHESTERFIELD PL,Lower Lonsdale,4,16,19,1088.0,128.0,97.5,transit_score,97.5,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
